dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabdpt	123	-1	500	500	tab_deepsurv_simple	0.7843697926694201	0.10304631248449617	0.748259451136054	0.024983758763471645
HURRAH	tabdpt	123	-1	500	500	tab_deepsurv_vanilla	0.9169182049073384	0.022603993364711594	0.788993022951728	0.014896051185978915
HURRAH	tabdpt	123	-1	500	500	tab_rsf	0.9703521556871962	0.0043770590661664915	0.7724312649193072	0.016794049146905552
HURRAH	tabdpt	123	-1	500	500	tab_cox	0.7533894692997153	0.14844304044810494	0.6200909100734016	0.14501283919000088
HURRAH	tabdpt	123	-1	500	500	deepsurv_simple	0.8541715158249563	0.016801757037950924	0.8029183253908151	0.011329940646522072
HURRAH	tabdpt	123	-1	500	500	deepsurv_vanilla	0.8403533754792187	0.06166066103540914	0.7472688916171824	0.03594714014390818
HURRAH	tabdpt	123	-1	500	500	rsf	0.9612778201983287	0.009738068694491344	0.79237319266132	0.021844025961629876
HURRAH	tabdpt	123	-1	500	500	cox	0.8654115230029046	0.01693194954961072	0.8021515600571842	0.009511933141825859
HURRAH	tabdpt	123	-1	1000	1000	tab_deepsurv_simple	0.886154543788308	0.03788781125313322	0.7772920854140662	0.017215860656814696
HURRAH	tabdpt	123	-1	1000	1000	tab_deepsurv_vanilla	0.8714502174048689	0.01570702907960192	0.795259360805478	0.014402615501110338
HURRAH	tabdpt	123	-1	1000	1000	tab_rsf	0.9702327714472491	0.003786681818490119	0.7908739445592287	0.012174342423435333
HURRAH	tabdpt	123	-1	1000	1000	tab_cox	0.7693358616278877	0.2116537950621478	0.6478104317737419	0.19766973109085204
HURRAH	tabdpt	123	-1	1000	1000	deepsurv_simple	0.8538099543478669	0.011974524514882555	0.820938884014406	0.010258091206065268
HURRAH	tabdpt	123	-1	1000	1000	deepsurv_vanilla	0.8615369054345985	0.011227088799702412	0.8036921500339718	0.015222681426436083
HURRAH	tabdpt	123	-1	1000	1000	rsf	0.9614065310134047	0.006209781830976209	0.8084904118323081	0.012920621066339953
HURRAH	tabdpt	123	-1	1000	1000	cox	0.8458051358160261	0.011214720502890897	0.8158106458549679	0.005151352302858519
HURRAH	tabdpt	123	-1	2500	2500	tab_deepsurv_simple	0.8719310883140086	0.016399471586552996	0.7894544300613606	0.014144933076169298
HURRAH	tabdpt	123	-1	2500	2500	tab_deepsurv_vanilla	0.8544612135288577	0.028764066550727507	0.8065610428526092	0.01332671591397811
HURRAH	tabdpt	123	-1	2500	2500	tab_rsf	0.9719248733370265	0.0027779879389673683	0.8074486326430643	0.013117312596371115
HURRAH	tabdpt	123	-1	2500	2500	tab_cox	0.5613722984213363	0.260323422235242	0.47821270981146763	0.2605089000909189
HURRAH	tabdpt	123	-1	2500	2500	deepsurv_simple	0.8474780624043978	0.005463442344164891	0.8283546420317714	0.006145240417345054
HURRAH	tabdpt	123	-1	2500	2500	deepsurv_vanilla	0.8593228323464309	0.01775847132930491	0.8222185774084277	0.0065716735185982825
HURRAH	tabdpt	123	-1	2500	2500	rsf	0.95117115355253	0.0031574226870391933	0.8320862240103224	0.011427324920502831
HURRAH	tabdpt	123	-1	2500	2500	cox	0.8386880361750668	0.005298146236535921	0.8209882831237449	0.006202226185527386
HURRAH	tabdpt	123	-1	5000	5000	tab_deepsurv_simple	0.8383729104164337	0.009733650662513072	0.8032635299233357	0.010506924737083954
HURRAH	tabdpt	123	-1	5000	5000	tab_deepsurv_vanilla	0.8374481104776791	0.015302454346910702	0.8142501407298368	0.009920900487861737
HURRAH	tabdpt	123	-1	5000	5000	tab_rsf	0.9655411556570208	0.002581663150408563	0.8100247461003776	0.013279809881194411
HURRAH	tabdpt	123	-1	5000	5000	tab_cox	0.7481070855343599	0.21204365399769828	0.6999267233526547	0.21361406492831447
HURRAH	tabdpt	123	-1	5000	5000	deepsurv_simple	0.8399710552109131	0.00463318767392944	0.8309339693094209	0.004889752617382448
HURRAH	tabdpt	123	-1	5000	5000	deepsurv_vanilla	0.8587447791145536	0.005086828138552121	0.8322583530909391	0.009414804513962427
HURRAH	tabdpt	123	-1	5000	5000	rsf	0.9397149159986318	0.002622283677938373	0.8426390736949829	0.011951755594390474
HURRAH	tabdpt	123	-1	5000	5000	cox	0.830119710776607	0.004780528887329618	0.8239954012216341	0.006616546316996923
HURRAH	tabdpt	123	-1	10000	10000	tab_deepsurv_simple	0.8276251643047896	0.00936309297533054	0.7923764811909614	0.024613540360645964
HURRAH	tabdpt	123	-1	10000	10000	tab_deepsurv_vanilla	0.8510920485324588	0.005167719721717381	0.8022415167047159	0.013789615011109257
HURRAH	tabdpt	123	-1	10000	10000	tab_rsf	0.9577605927770042	0.0010589428952632735	0.8127394768167404	0.009532434456625528
HURRAH	tabdpt	123	-1	10000	10000	tab_cox	0.8464037497568875	0.0017983382991865922	0.7919716604979355	0.01877302357573294
HURRAH	tabdpt	123	-1	10000	10000	deepsurv_simple	0.8292089886825421	0.00558509817553305	0.8272880672169187	0.00638465991109848
HURRAH	tabdpt	123	-1	10000	10000	deepsurv_vanilla	0.8396145782469013	0.012000291812465065	0.8287992385575966	0.009939488882116826
HURRAH	tabdpt	123	-1	10000	10000	rsf	0.9274157731663772	0.00038417818125098	0.8483334567279425	0.009467035399414465
HURRAH	tabdpt	123	-1	10000	10000	cox	0.8302961563982484	0.0017130855658915897	0.8258764213029265	0.006279852694252417
HURRAH	tabdpt	123	-1	15000	13566	tab_deepsurv_simple	0.8220374817352318	0.0074380418220627974	0.794819459932926	0.014008911433372113
HURRAH	tabdpt	123	-1	15000	13566	tab_deepsurv_vanilla	0.8461820016339701	0.013118310170946747	0.8100907703440988	0.009360720786644594
HURRAH	tabdpt	123	-1	15000	13566	tab_rsf	0.9519492291238633	0.0009122027961122581	0.8100094020250468	0.011792136876481923
HURRAH	tabdpt	123	-1	15000	13566	tab_cox	0.8420404203609617	0.0017632642747355267	0.7974493994988388	0.009955518166617662
HURRAH	tabdpt	123	-1	15000	13566	deepsurv_simple	0.835963133666343	0.0034752626718936573	0.8337701644007367	0.003143906519514209
HURRAH	tabdpt	123	-1	15000	13566	deepsurv_vanilla	0.8578279592977717	0.005106935819790171	0.846183164969689	0.0050638153153177
HURRAH	tabdpt	123	-1	15000	13566	rsf	0.920223097630536	0.0005188622919243584	0.8497819016905381	0.0105199060920308
HURRAH	tabdpt	123	-1	15000	13566	cox	0.8281279262444636	0.0013588628005765735	0.8263627114549541	0.00672361854616838
HURRAH	tabdpt	123	NaN	500	500	tab_deepsurv_simple	0.7659376629340577	0.11216683269390897	0.7384479345642447	0.025211938821985833
HURRAH	tabdpt	123	NaN	500	500	tab_deepsurv_vanilla	0.8969002395164644	0.009282893234174142	0.7768898076307853	0.014695845139510074
HURRAH	tabdpt	123	NaN	500	500	tab_rsf	0.9700484271935246	0.002698616626239735	0.7643556508561586	0.012774176612764634
HURRAH	tabdpt	123	NaN	500	500	tab_cox	0.770752434235393	0.1484503226283174	0.6229176452761964	0.1444789608036224
HURRAH	tabdpt	123	NaN	500	500	deepsurv_simple				
HURRAH	tabdpt	123	NaN	500	500	deepsurv_vanilla				
HURRAH	tabdpt	123	NaN	500	500	rsf				
HURRAH	tabdpt	123	NaN	500	500	cox				
