SHAP — HURRAH | tabdpt | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.615397       0.148295
VITA                                      0.153858       0.039741
BMI                                       0.127381       0.054313
HB                                        0.115076       0.062109
FAM_IPERT                                 0.107133       0.044646
ALTEZZA                                   0.105715       0.028899
GOTTA                                     0.100649       0.042684
AZOTEMIA                                  0.096815       0.036598
ALB_CAT                                   0.091890       0.009654
FC                                        0.090691       0.039351
EXFUMO                                    0.087323       0.038689
PAD                                       0.087309       0.032929
TG                                        0.087159       0.031134
HDL                                       0.086070       0.042886
HT                                        0.079214       0.046267
GLICEMIA                                  0.077186       0.028592
URICEMIA                                  0.076887       0.047981
CT                                        0.074417       0.026943
INS_CARD                                  0.071990       0.025920
PESO                                      0.069827       0.015952
SARTANI                                   0.067976       0.032803
ALCOOL                                    0.067684       0.025850
ETANOLO_G_DIE                             0.065246       0.027396
PAS                                       0.063919       0.027698
INDAPAMIDE                                0.061641       0.032213
SESSO                                     0.061392       0.014352
CREATININA                                0.061008       0.035109
ACIDO_NICOTINICO                          0.058006       0.011220
PLACCA                                    0.057585       0.010284
CLORTALIDONE                              0.057312       0.035310
FAM_CV                                    0.056041       0.026509
DIABETE                                   0.054217       0.031745
ATT_FIS                                   0.054132       0.011954
ACEI                                      0.054013       0.021448
IRC                                       0.051857       0.021252
PCR                                       0.051751       0.025886
DIURETICI                                 0.051372       0.029603
ALLOPURINOLO                              0.050747       0.035414
STATINA                                   0.048976       0.021542
FUMO_ATT                                  0.048876       0.009464
HCTZ                                      0.048022       0.031304
ALTRO_CAA                                 0.047695       0.020407
FA_BASE                                   0.046599       0.026896
HF_BASE                                   0.044963       0.025476
IPERTESO                                  0.044467       0.015069
CAA_DIID                                  0.043441       0.011589
RESINE                                    0.043055       0.012372
IMT                                       0.043004       0.010430
CBV_BASE                                  0.042378       0.027306
ATT_FIS_H_SETT                            0.040198       0.005882
IMA_BASE                                  0.039572       0.026134
NORMOMICROMACRO                           0.038872       0.016994
DELL_ANSA                                 0.037001       0.018073
NF_FA                                     0.036370       0.022458
BETABLOCCANTI                             0.035487       0.021337
FU_NF_FA                                  0.034901       0.020411
EZETEMIBE                                 0.034656       0.022430
OMEGA_3                                   0.034523       0.010643
ANNI_MENOP                                0.033218       0.013629
FIBRATI                                   0.031687       0.015281
MENOPAUSA                                 0.029325       0.019592

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.537602       0.118180
VITA                                      0.225669       0.059166
FUMO_ATT                                  0.154026       0.187338
FAM_IPERT                                 0.124185       0.124120
FC                                        0.121169       0.162304
HB                                        0.117771       0.047466
AZOTEMIA                                  0.091795       0.049875
SESSO                                     0.084265       0.039781
SARTANI                                   0.079636       0.048742
DELL_ANSA                                 0.075478       0.041596
CT                                        0.072521       0.070654
URICEMIA                                  0.069285       0.029419
TG                                        0.068198       0.045912
HDL                                       0.068181       0.048776
GOTTA                                     0.064483       0.056391
ATT_FIS_H_SETT                            0.061326       0.071961
ALCOOL                                    0.059612       0.035288
INS_CARD                                  0.059476       0.029144
PESO                                      0.059159       0.039658
PAD                                       0.058017       0.045417
ATT_FIS                                   0.056052       0.082196
ALB_CAT                                   0.055246       0.018218
PAS                                       0.051945       0.041642
FAM_CV                                    0.051488       0.008362
GLICEMIA                                  0.047820       0.038335
PLACCA                                    0.047129       0.033643
ALTEZZA                                   0.045866       0.046608
HT                                        0.045697       0.025696
IRC                                       0.045184       0.021076
RESINE                                    0.044912       0.043795
ETANOLO_G_DIE                             0.042283       0.037309
ALLOPURINOLO                              0.041859       0.040773
HCTZ                                      0.041191       0.030522
FA_BASE                                   0.040941       0.039718
CREATININA                                0.040035       0.019608
ACIDO_NICOTINICO                          0.039816       0.031659
PCR                                       0.037901       0.051552
EXFUMO                                    0.037532       0.029224
FIBRATI                                   0.037393       0.025002
BMI                                       0.036618       0.022981
IPERTESO                                  0.036267       0.011391
STATINA                                   0.034457       0.017583
ACEI                                      0.034047       0.023744
NORMOMICROMACRO                           0.032740       0.021098
CAA_DIID                                  0.031212       0.034570
INDAPAMIDE                                0.031196       0.020349
HF_BASE                                   0.028991       0.024001
MENOPAUSA                                 0.028712       0.039781
DIURETICI                                 0.027097       0.019719
ANNI_MENOP                                0.024903       0.015272
IMT                                       0.023965       0.024287
FU_NF_FA                                  0.022972       0.006744
DIABETE                                   0.022862       0.007014
ALTRO_CAA                                 0.022338       0.010600
OMEGA_3                                   0.022054       0.020324
CBV_BASE                                  0.021437       0.019731
IMA_BASE                                  0.020661       0.010136
CLORTALIDONE                              0.020606       0.009315
NF_FA                                     0.018676       0.011840
BETABLOCCANTI                             0.018293       0.009046
EZETEMIBE                                 0.018087       0.010186

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       6.096397       1.229700
VITA                                      2.225496       0.160412
FAM_IPERT                                 1.565743       0.144665
GLICEMIA                                  1.310740       0.355327
CT                                        1.233600       0.399669
PAS                                       1.193737       0.205030
