
Dataset: HURRAH | Model: tabicl | Seeds: 42 (aggregated, n=1)
======================================================================

Preprocess: -1
------------------------------------------------------------

  Sample size (requested):    100  |  actual mean: 100
    TRAIN tabicl+DS-simple                  → mean: 0.9528 | std: 0.0000 | min: 0.9370 | max: 0.9648
    TEST  tabicl+DS-simple                  → mean: 0.6806 | std: 0.0000 | min: 0.6636 | max: 0.6979
    TRAIN tabicl+DS-vanilla                 → mean: 0.9562 | std: 0.0000 | min: 0.9424 | max: 0.9711
    TEST  tabicl+DS-vanilla                 → mean: 0.6746 | std: 0.0000 | min: 0.6131 | max: 0.7108
    TRAIN tabicl+RSF                        → mean: 0.9726 | std: 0.0000 | min: 0.9593 | max: 0.9912
    TEST  tabicl+RSF                        → mean: 0.6643 | std: 0.0000 | min: 0.6315 | max: 0.6969
    TRAIN tabicl+Cox                        → mean: 0.9790 | std: 0.0000 | min: 0.9270 | max: 1.0000
    TEST  tabicl+Cox                        → mean: 0.5928 | std: 0.0000 | min: 0.5545 | max: 0.6370
    TRAIN DS-simple (base)                  → mean: 0.8025 | std: 0.0000 | min: 0.4807 | max: 0.9714
    TEST  DS-simple (base)                  → mean: 0.6753 | std: 0.0000 | min: 0.5218 | max: 0.7492
    TRAIN DS-vanilla (base)                 → mean: 0.8860 | std: 0.0000 | min: 0.8153 | max: 0.9426
    TEST  DS-vanilla (base)                 → mean: 0.6620 | std: 0.0000 | min: 0.6007 | max: 0.7347
    TRAIN RSF (base)                        → mean: 0.9683 | std: 0.0000 | min: 0.9464 | max: 0.9862
    TEST  RSF (base)                        → mean: 0.7242 | std: 0.0000 | min: 0.6778 | max: 0.7785
    TRAIN Cox (base)                        → mean: 0.9479 | std: 0.0000 | min: 0.9209 | max: 0.9761
    TEST  Cox (base)                        → mean: 0.7591 | std: 0.0000 | min: 0.7074 | max: 0.7876

  Sample size (requested):    500  |  actual mean: 500
    TRAIN tabicl+DS-simple                  → mean: 0.9474 | std: 0.0000 | min: 0.9407 | max: 0.9574
    TEST  tabicl+DS-simple                  → mean: 0.7452 | std: 0.0000 | min: 0.7307 | max: 0.7663
    TRAIN tabicl+DS-vanilla                 → mean: 0.9440 | std: 0.0000 | min: 0.9152 | max: 0.9697
    TEST  tabicl+DS-vanilla                 → mean: 0.7399 | std: 0.0000 | min: 0.6964 | max: 0.7748
    TRAIN tabicl+RSF                        → mean: 0.9836 | std: 0.0000 | min: 0.9790 | max: 0.9871
    TEST  tabicl+RSF                        → mean: 0.5478 | std: 0.0000 | min: 0.4296 | max: 0.6822
    TRAIN tabicl+Cox                        → mean: 0.9249 | std: 0.0000 | min: 0.6884 | max: 0.9859
    TEST  tabicl+Cox                        → mean: 0.5718 | std: 0.0000 | min: 0.3219 | max: 0.6425
    TRAIN DS-simple (base)                  → mean: 0.8472 | std: 0.0000 | min: 0.8396 | max: 0.8529
    TEST  DS-simple (base)                  → mean: 0.8031 | std: 0.0000 | min: 0.7881 | max: 0.8179
    TRAIN DS-vanilla (base)                 → mean: 0.8391 | std: 0.0000 | min: 0.7005 | max: 0.9189
    TEST  DS-vanilla (base)                 → mean: 0.7529 | std: 0.0000 | min: 0.6272 | max: 0.7945
    TRAIN RSF (base)                        → mean: 0.9531 | std: 0.0000 | min: 0.9476 | max: 0.9606
    TEST  RSF (base)                        → mean: 0.8004 | std: 0.0000 | min: 0.7798 | max: 0.8189
    TRAIN Cox (base)                        → mean: 0.8562 | std: 0.0000 | min: 0.8500 | max: 0.8673
    TEST  Cox (base)                        → mean: 0.8087 | std: 0.0000 | min: 0.7945 | max: 0.8218

  Sample size (requested):   1000  |  actual mean: 1000
    TRAIN tabicl+DS-simple                  → mean: 0.9570 | std: 0.0000 | min: 0.9513 | max: 0.9622
    TEST  tabicl+DS-simple                  → mean: 0.7470 | std: 0.0000 | min: 0.7224 | max: 0.7745
    TRAIN tabicl+DS-vanilla                 → mean: 0.9631 | std: 0.0000 | min: 0.9569 | max: 0.9672
