SHAP Aggregated — HURRAH | tabicl
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 4 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ALLOPURINOLO                                  0.446776      0.165976
HCTZ                                          0.212611      0.041133
INDAPAMIDE                                    0.158407      0.065920
ALTRO_CAA                                     0.132385      0.071937
CLORTALIDONE                                  0.121476      0.073480
AZOTEMIA                                      0.113071      0.051941
GLICEMIA                                      0.098335      0.052763
SARTANI                                       0.096854      0.040248
ALCOOL                                        0.091264      0.038118
FC                                            0.080828      0.028410
IRC                                           0.072270      0.026137
HB                                            0.071688      0.029614
VITA                                          0.065604      0.029762
INS_CARD                                      0.065257      0.023120
DELL_ANSA                                     0.062256      0.047002
GOTTA                                         0.061475      0.032252
OMEGA_3                                       0.053200      0.023853
HDL                                           0.051266      0.023216
DIURETICI                                     0.050795      0.019956
CREATININA                                    0.049900      0.020196
ATT_FIS                                       0.049768      0.029585
ATT_FIS_H_SETT                                0.049050      0.017335
PLACCA                                        0.048708      0.021538
IPERTESO                                      0.048674      0.021603
RESINE                                        0.045760      0.028476
CBV_BASE                                      0.045532      0.017772
ETANOLO_G_DIE                                 0.045347      0.020511
BETABLOCCANTI                                 0.044000      0.022555
FAM_IPERT                                     0.041714      0.021937
HT                                            0.039281      0.021042
FU_NF_FA                                      0.038537      0.018805
FAM_CV                                        0.037948      0.009481
SESSO                                         0.036766      0.017104
EXFUMO                                        0.036011      0.016925
FIBRATI                                       0.033921      0.022591
DIABETE                                       0.032987      0.010171
ACIDO_NICOTINICO                              0.032863      0.013911
NORMOMICROMACRO                               0.032601      0.012866
STATINA                                       0.032203      0.014503
CAA_DIID                                      0.032087      0.012300
ALB_CAT                                       0.028382      0.015790
NF_FA                                         0.026184      0.013294
URICEMIA                                      0.026145      0.010523
ANNI_MENOP                                    0.025418      0.012547
PCR                                           0.025415      0.013789
ACEI                                          0.025093      0.012261
ALTEZZA                                       0.024536      0.011020
IMT                                           0.023269      0.008093
EZETEMIBE                                     0.023154      0.009410
MENOPAUSA                                     0.022774      0.009203
HF_BASE                                       0.022232      0.012762
FUMO_ATT                                      0.021957      0.004577
PAS                                           0.021465      0.007552
FA_BASE                                       0.020854      0.007953
IMA_BASE                                      0.019799      0.010104
PAD                                           0.018019      0.008647
BMI                                           0.016698      0.005436
CT                                            0.015211      0.005642
PESO                                          0.015198      0.005196
ETA                                           0.013810      0.006767
TG                                            0.013315      0.005540

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
INDAPAMIDE                                    0.645901      1.226816
VITA                                          0.611859      1.164555
RESINE                                        0.358645      0.681559
HB                                            0.317034      0.519294
DIURETICI                                     0.260867      0.474698
FU_NF_FA                                      0.260237      0.488853
ALTRO_CAA                                     0.251866      0.389054
HCTZ                                          0.242342      0.254222
ALLOPURINOLO                                  0.235938      0.226721
AZOTEMIA                                      0.217520      0.336052
BETABLOCCANTI                                 0.211721      0.379090
NORMOMICROMACRO                               0.202597      0.366359
INS_CARD                                      0.190276      0.246562
ATT_FIS                                       0.170958      0.280856
CLORTALIDONE                                  0.166263      0.215977
ALCOOL                                        0.163287      0.252935
IRC                                           0.156102      0.236793
SARTANI                                       0.150145      0.174133
CAA_DIID                                      0.141009      0.240294
CBV_BASE                                      0.134144      0.202751
ETANOLO_G_DIE                                 0.120319      0.167361
FA_BASE                                       0.114443      0.203207
FIBRATI                                       0.112666      0.169592
GLICEMIA                                      0.110523      0.164554
CREATININA                                    0.105294      0.133935
DIABETE                                       0.091934      0.140903
HF_BASE                                       0.089440      0.146406
IMA_BASE                                      0.085812      0.139316
MENOPAUSA                                     0.084446      0.144222
DELL_ANSA                                     0.080633      0.102900
SESSO                                         0.078918      0.075226
ACEI                                          0.078626      0.107898
GOTTA                                         0.078438      0.071722
OMEGA_3                                       0.078396      0.121956
ALB_CAT                                       0.077982      0.125751
FC                                            0.074445      0.072901
IMT                                           0.072943      0.114972
ATT_FIS_H_SETT                                0.072482      0.069654
ANNI_MENOP                                    0.071242      0.110562
HDL                                           0.068143      0.063892
IPERTESO                                      0.067672      0.087108
EXFUMO                                        0.065708      0.092445
URICEMIA                                      0.064797      0.098026
PLACCA                                        0.063918      0.062135
NF_FA                                         0.060612      0.092090
PESO                                          0.059130      0.096201
FAM_IPERT                                     0.058006      0.070680
ETA                                           0.056581      0.091649
FUMO_ATT                                      0.055500      0.081382
BMI                                           0.054515      0.085291
PAD                                           0.054457      0.088825
TG                                            0.052739      0.083514
ACIDO_NICOTINICO                              0.052142      0.072440
FAM_CV                                        0.047279      0.062805
HT                                            0.043951      0.044256
CT                                            0.043685      0.063401
PAS                                           0.042436      0.062920
EZETEMIBE                                     0.041250      0.050098
STATINA                                       0.040672      0.051997
ALTEZZA                                       0.040147      0.053220
PCR                                           0.035658      0.038587

--- rsf ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
HB                                            4.012298      0.863412
CLORTALIDONE                                  2.567060      0.336301
ATT_FIS_H_SETT                                2.485963      0.781402
