SHAP — HURRAH | tabicl | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HCTZ                                      0.353746       0.034309
ALLOPURINOLO                              0.263462       0.188110
ALTRO_CAA                                 0.207924       0.142055
CLORTALIDONE                              0.142742       0.073574
GLICEMIA                                  0.137982       0.066564
AZOTEMIA                                  0.135974       0.085685
SARTANI                                   0.124834       0.029052
ALCOOL                                    0.107830       0.016625
GOTTA                                     0.088977       0.037774
HB                                        0.079711       0.031549
ATT_FIS                                   0.064715       0.054594
CREATININA                                0.062854       0.018876
DELL_ANSA                                 0.059623       0.053512
DIURETICI                                 0.054754       0.021425
HT                                        0.052628       0.028683
VITA                                      0.051157       0.021768
HDL                                       0.050936       0.022234
SESSO                                     0.049195       0.021531
OMEGA_3                                   0.046051       0.032137
ETANOLO_G_DIE                             0.042630       0.020395
INS_CARD                                  0.041609       0.006289
ALB_CAT                                   0.041176       0.020241
IPERTESO                                  0.040372       0.024248
BETABLOCCANTI                             0.039843       0.024292
ATT_FIS_H_SETT                            0.038833       0.016705
PLACCA                                    0.034360       0.013094
PCR                                       0.034058       0.023991
FU_NF_FA                                  0.031087       0.013804
NORMOMICROMACRO                           0.030792       0.012108
CAA_DIID                                  0.029234       0.013758
RESINE                                    0.028681       0.020299
FIBRATI                                   0.028606       0.020711
FC                                        0.028359       0.013071
FAM_CV                                    0.026986       0.010162
INDAPAMIDE                                0.026581       0.011576
ANNI_MENOP                                0.026422       0.015350
DIABETE                                   0.026416       0.009152
ALTEZZA                                   0.025963       0.012359
IRC                                       0.025098       0.009071
MENOPAUSA                                 0.024840       0.010846
HF_BASE                                   0.024681       0.013469
EXFUMO                                    0.024658       0.007023
PAS                                       0.022864       0.006673
FAM_IPERT                                 0.022619       0.007247
FUMO_ATT                                  0.021803       0.006144
EZETEMIBE                                 0.021760       0.005243
ACEI                                      0.021677       0.009131
URICEMIA                                  0.021296       0.008170
FA_BASE                                   0.018847       0.012972
CBV_BASE                                  0.018712       0.006837
NF_FA                                     0.018395       0.011152
BMI                                       0.017027       0.005125
PESO                                      0.016964       0.006610
IMA_BASE                                  0.016624       0.014036
STATINA                                   0.016068       0.011475
ACIDO_NICOTINICO                          0.015322       0.005114
CT                                        0.013946       0.006797
PAD                                       0.013515       0.007787
IMT                                       0.012306       0.004298
TG                                        0.011240       0.003611
ETA                                       0.010931       0.005573

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
INDAPAMIDE                                2.436236       4.842965
VITA                                      2.344217       4.615826
RESINE                                    1.366016       2.690644
HB                                        1.060631       2.000136
FU_NF_FA                                  0.987722       1.938178
DIURETICI                                 0.966205       1.872118
ALTRO_CAA                                 0.845241       1.489051
BETABLOCCANTI                             0.767930       1.491244
NORMOMICROMACRO                           0.739610       1.436738
AZOTEMIA                                  0.667850       1.230237
ATT_FIS                                   0.561242       1.074661
HCTZ                                      0.508327       0.741381
INS_CARD                                  0.495357       0.908637
ALCOOL                                    0.492642       0.925814
CAA_DIID                                  0.477280       0.913359
IRC                                       0.472277       0.893381
FA_BASE                                   0.416379       0.801331
CBV_BASE                                  0.391192       0.724341
CLORTALIDONE                              0.379666       0.619560
ETANOLO_G_DIE                             0.366233       0.634841
SARTANI                                   0.363011       0.582194
GLICEMIA                                  0.329869       0.593589
FIBRATI                                   0.319775       0.587005
ALLOPURINOLO                              0.316063       0.563507
HF_BASE                                   0.300006       0.559279
DIABETE                                   0.293867       0.545610
MENOPAUSA                                 0.291719       0.562508
IMA_BASE                                  0.283219       0.531912
CREATININA                                0.268157       0.468824
OMEGA_3                                   0.254693       0.469873
ALB_CAT                                   0.245448       0.465396
IMT                                       0.228438       0.420565
ANNI_MENOP                                0.220784       0.410286
ACEI                                      0.203631       0.373801
URICEMIA                                  0.202658       0.367364
DELL_ANSA                                 0.200902       0.345902
PESO                                      0.195696       0.369304
EXFUMO                                    0.192679       0.338901
ETA                                       0.191162       0.354914
SESSO                                     0.187562       0.256063
NF_FA                                     0.183572       0.338339
PAD                                       0.181850       0.340807
TG                                        0.176057       0.320543
BMI                                       0.172233       0.322813
IPERTESO                                  0.166263       0.283435
GOTTA                                     0.166144       0.214578
FUMO_ATT                                  0.163385       0.302388
FC                                        0.150844       0.251455
PLACCA                                    0.148761       0.213419
HDL                                       0.147387       0.215570
ACIDO_NICOTINICO                          0.146564       0.264894
CT                                        0.135739       0.242015
FAM_IPERT                                 0.131886       0.226396
FAM_CV                                    0.129321       0.226047
PAS                                       0.129081       0.227726
STATINA                                   0.111972       0.188307
ALTEZZA                                   0.105791       0.188627
ATT_FIS_H_SETT                            0.104770       0.143248
EZETEMIBE                                 0.099201       0.167996
HT                                        0.099138       0.135398
PCR                                       0.084841       0.135915

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HB                                        4.153096       0.676706
SESSO                                     3.545921       0.341143
ALLOPURINOLO                              2.421962       0.668460
CLORTALIDONE                              2.389671       0.344737
FC                                        2.275613       0.155585
SARTANI                                   2.266371       0.734128
