SHAP — HURRAH | tabicl | preprocess: NaN | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              0.619872       0.341145
ALB_CAT                                   0.383291       0.214688
SARTANI                                   0.259759       0.143769
SESSO                                     0.228347       0.139523
FAM_CV                                    0.178888       0.082562
FIBRATI                                   0.171657       0.097795
MENOPAUSA                                 0.161091       0.042430
ATT_FIS                                   0.131744       0.059425
ATT_FIS_H_SETT                            0.125421       0.064506
FAM_IPERT                                 0.108900       0.043640
DELL_ANSA                                 0.078738       0.031487
RESINE                                    0.077261       0.076772
GOTTA                                     0.076006       0.038320
PLACCA                                    0.072471       0.089860
ACEI                                      0.065301       0.040650
OMEGA_3                                   0.059809       0.040330
ALTRO_CAA                                 0.057066       0.029343
IRC                                       0.056366       0.037019
CLORTALIDONE                              0.054138       0.037557
EZETEMIBE                                 0.053062       0.056978
INS_CARD                                  0.052517       0.035894
ALCOOL                                    0.046319       0.023811
BETABLOCCANTI                             0.045515       0.016345
DIABETE                                   0.044267       0.012948
CREATININA                                0.040837       0.018457
ANNI_MENOP                                0.040329       0.019644
HCTZ                                      0.034284       0.009496
STATINA                                   0.033597       0.013088
EXFUMO                                    0.033586       0.012090
ETANOLO_G_DIE                             0.033097       0.017451
FU_NF_FA                                  0.030425       0.011436
INDAPAMIDE                                0.029121       0.004439
IPERTESO                                  0.028476       0.005836
DIURETICI                                 0.026670       0.011646
CAA_DIID                                  0.025810       0.013743
TG                                        0.025274       0.005722
ETA                                       0.025239       0.011797
NF_FA                                     0.025161       0.006507
HDL                                       0.022986       0.006098
URICEMIA                                  0.022128       0.011119
FA_BASE                                   0.021153       0.010709
FUMO_ATT                                  0.020675       0.004775
PCR                                       0.020674       0.009690
CBV_BASE                                  0.020374       0.009119
PAD                                       0.019467       0.006343
PAS                                       0.018767       0.011109
PESO                                      0.018483       0.005971
HF_BASE                                   0.017938       0.011763
AZOTEMIA                                  0.017278       0.007708
IMT                                       0.016886       0.004109
NORMOMICROMACRO                           0.015281       0.005511
CT                                        0.014934       0.006121
GLICEMIA                                  0.014366       0.008533
ALTEZZA                                   0.014334       0.006514
IMA_BASE                                  0.013878       0.004325
HT                                        0.013572       0.004377
FC                                        0.012533       0.004150
ACIDO_NICOTINICO                          0.011489       0.004906
BMI                                       0.011274       0.005265
HB                                        0.010212       0.004107
VITA                                      0.009683       0.005976

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALB_CAT                                   0.226463       0.184228
CLORTALIDONE                              0.219046       0.344800
GOTTA                                     0.198918       0.135839
ALLOPURINOLO                              0.164396       0.105816
FIBRATI                                   0.142202       0.175412
HCTZ                                      0.130959       0.198312
ATT_FIS_H_SETT                            0.122940       0.104139
FAM_CV                                    0.118688       0.074703
FAM_IPERT                                 0.108413       0.078756
DELL_ANSA                                 0.105082       0.083607
SESSO                                     0.103272       0.098497
ATT_FIS                                   0.082514       0.060140
ALTRO_CAA                                 0.080838       0.065709
PLACCA                                    0.079071       0.084083
IRC                                       0.076709       0.053350
ACEI                                      0.075695       0.031166
SARTANI                                   0.075215       0.035782
BETABLOCCANTI                             0.068989       0.062657
INDAPAMIDE                                0.060241       0.053777
MENOPAUSA                                 0.055889       0.046037
ANNI_MENOP                                0.054600       0.042745
STATINA                                   0.053723       0.071772
NORMOMICROMACRO                           0.052262       0.067269
EXFUMO                                    0.050120       0.041493
ALCOOL                                    0.049773       0.040400
NF_FA                                     0.048549       0.052766
EZETEMIBE                                 0.047573       0.049881
ETANOLO_G_DIE                             0.046284       0.047066
OMEGA_3                                   0.046021       0.062441
DIURETICI                                 0.039707       0.021526
URICEMIA                                  0.039472       0.042363
IPERTESO                                  0.039097       0.016225
DIABETE                                   0.038958       0.019698
FC                                        0.038879       0.062705
ALTEZZA                                   0.037896       0.054337
VITA                                      0.034829       0.044747
ETA                                       0.033532       0.038417
AZOTEMIA                                  0.033192       0.049075
INS_CARD                                  0.032229       0.020569
FA_BASE                                   0.031937       0.039812
RESINE                                    0.031628       0.037658
CREATININA                                0.031359       0.034112
CBV_BASE                                  0.030792       0.045010
HB                                        0.030058       0.033608
PCR                                       0.029979       0.015208
IMT                                       0.028776       0.028923
PAD                                       0.028461       0.037489
HDL                                       0.028445       0.036130
PESO                                      0.026717       0.035410
HT                                        0.026647       0.035773
CAA_DIID                                  0.026013       0.021090
FU_NF_FA                                  0.025336       0.023763
TG                                        0.024899       0.021745
HF_BASE                                   0.021717       0.025102
CT                                        0.020384       0.016060
PAS                                       0.019392       0.018507
ACIDO_NICOTINICO                          0.018830       0.015954
GLICEMIA                                  0.017435       0.014831
FUMO_ATT                                  0.016956       0.014354
IMA_BASE                                  0.016335       0.014196
BMI                                       0.011833       0.004462

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
DELL_ANSA                                 3.528608       1.136726
SARTANI                                   3.491230       0.486511
ALTRO_CAA                                 2.756051       1.092111
GOTTA                                     2.280658       0.967921
ATT_FIS_H_SETT                            2.055340       1.024484
