SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           1.003747      0.179963
AZOTEMIA                                      0.142402      0.047011
ACIDO_NICOTINICO                              0.101195      0.027804
SESSO                                         0.091002      0.021954
FUMO_ATT                                      0.086539      0.027344
INDAPAMIDE                                    0.072439      0.029530
STATINA                                       0.060853      0.019570
INS_CARD                                      0.056632      0.018395
SARTANI                                       0.052791      0.021085
ALCOOL                                        0.051611      0.016092
RESINE                                        0.048235      0.022437
CLORTALIDONE                                  0.043785      0.016684
HT                                            0.043201      0.011109
HCTZ                                          0.037639      0.009459
IMT                                           0.037102      0.016485
PLACCA                                        0.035000      0.017296
FAM_CV                                        0.034025      0.011657
OMEGA_3                                       0.032596      0.012419
CREATININA                                    0.030259      0.009742
DIABETE                                       0.029778      0.010232
EZETEMIBE                                     0.029213      0.011983
URICEMIA                                      0.028960      0.009184
PAS                                           0.025202      0.011226
NF_FA                                         0.024903      0.011613
EXFUMO                                        0.024679      0.012760
ATT_FIS_H_SETT                                0.024663      0.011679
PESO                                          0.024036      0.009806
PAD                                           0.023330      0.011004
HB                                            0.023201      0.006827
FC                                            0.022666      0.014368
ALTRO_CAA                                     0.020937      0.014192
IRC                                           0.020917      0.012202
FA_BASE                                       0.020012      0.009082
ETANOLO_G_DIE                                 0.019974      0.006966
CT                                            0.019800      0.008926
DELL_ANSA                                     0.019610      0.007088
GOTTA                                         0.019214      0.007042
FIBRATI                                       0.019091      0.009834
CAA_DIID                                      0.018879      0.006617
ACEI                                          0.018477      0.007801
HDL                                           0.017542      0.005844
VITA                                          0.017352      0.006400
ALLOPURINOLO                                  0.016719      0.006810
TG                                            0.016535      0.007011
GLICEMIA                                      0.016497      0.004708
FAM_IPERT                                     0.015829      0.006773
BMI                                           0.015503      0.006636
ALTEZZA                                       0.015433      0.006361
FU_NF_FA                                      0.014514      0.005981
NORMOMICROMACRO                               0.013644      0.005217
BETABLOCCANTI                                 0.013465      0.005334
DIURETICI                                     0.013243      0.005877
MENOPAUSA                                     0.012440      0.004513
IMA_BASE                                      0.011440      0.003756
ATT_FIS                                       0.011317      0.003722
ALB_CAT                                       0.011229      0.003523
IPERTESO                                      0.010822      0.004455
CBV_BASE                                      0.010592      0.004961
ANNI_MENOP                                    0.010428      0.003237
PCR                                           0.010376      0.003999
HF_BASE                                       0.009371      0.003078

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.715960      0.301622
AZOTEMIA                                      0.151834      0.097610
ACIDO_NICOTINICO                              0.097807      0.070246
INS_CARD                                      0.092505      0.053076
SARTANI                                       0.084609      0.038973
SESSO                                         0.080024      0.043214
INDAPAMIDE                                    0.072063      0.028151
FUMO_ATT                                      0.067142      0.038395
ALCOOL                                        0.058335      0.022629
STATINA                                       0.052509      0.029095
FAM_CV                                        0.046698      0.023295
RESINE                                        0.045573      0.027293
ATT_FIS_H_SETT                                0.041005      0.023273
PLACCA                                        0.040914      0.023329
HT                                            0.037891      0.019391
EZETEMIBE                                     0.037558      0.018933
CREATININA                                    0.037355      0.020427
IMT                                           0.036954      0.025075
OMEGA_3                                       0.034829      0.019751
ETANOLO_G_DIE                                 0.034336      0.020866
EXFUMO                                        0.033895      0.016988
ALTRO_CAA                                     0.033274      0.034209
HCTZ                                          0.033244      0.011424
PAS                                           0.030294      0.016935
HB                                            0.029467      0.014835
CLORTALIDONE                                  0.027554      0.014957
IRC                                           0.026209      0.016850
ACEI                                          0.026009      0.012701
GOTTA                                         0.025493      0.015711
PAD                                           0.025433      0.012930
VITA                                          0.024939      0.015339
URICEMIA                                      0.024918      0.010537
PESO                                          0.024819      0.013376
DELL_ANSA                                     0.023802      0.012189
DIABETE                                       0.023616      0.009311
CT                                            0.021914      0.011800
GLICEMIA                                      0.021844      0.010525
FC                                            0.021524      0.012347
ALLOPURINOLO                                  0.021090      0.009236
NF_FA                                         0.020243      0.010803
ALTEZZA                                       0.019966      0.010111
FIBRATI                                       0.019460      0.010060
FAM_IPERT                                     0.018875      0.007241
CAA_DIID                                      0.018474      0.011867
FA_BASE                                       0.018362      0.008598
DIURETICI                                     0.017649      0.010133
ATT_FIS                                       0.017542      0.012326
BETABLOCCANTI                                 0.017382      0.008792
BMI                                           0.017331      0.008766
FU_NF_FA                                      0.015368      0.004901
NORMOMICROMACRO                               0.015186      0.006268
ANNI_MENOP                                    0.014589      0.010172
TG                                            0.014452      0.006086
HDL                                           0.013465      0.005702
ALB_CAT                                       0.012791      0.006110
MENOPAUSA                                     0.012665      0.008279
IPERTESO                                      0.012357      0.006485
IMA_BASE                                      0.012304      0.006209
PCR                                           0.011691      0.006563
HF_BASE                                       0.011514      0.006660
CBV_BASE                                      0.010313      0.003998

--- rsf ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                          17.421674      2.753607
AZOTEMIA                                      2.538795      0.654723
SESSO                                         1.872234      0.445046
INS_CARD                                      1.310677      0.379169
