dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabpfn	42	-1	100	100	tab_deepsurv_simple	0.9528893685473149	0.010686512020945452	0.7750749552120834	0.019473695803590978
HURRAH	tabpfn	42	-1	100	100	tab_deepsurv_vanilla	0.9592877831763025	0.010888476121825311	0.74803783222033	0.040959389762782066
HURRAH	tabpfn	42	-1	100	100	tab_rsf	0.9737991164315636	0.009735108054486661	0.7421887838779196	0.03940534504454081
HURRAH	tabpfn	42	-1	100	100	tab_cox	0.9810268072573258	0.009634281407091399	0.7282584884920245	0.038730590071441064
HURRAH	tabpfn	42	-1	100	100	deepsurv_simple	0.9093901943634647	0.04673036137957641	0.7350766158337866	0.023472595960224378
HURRAH	tabpfn	42	-1	100	100	deepsurv_vanilla	0.8819575078220862	0.05417879753126651	0.6800532388866516	0.03689210049994641
HURRAH	tabpfn	42	-1	100	100	rsf	0.9824737194486681	0.007978841764143419	0.7169633092060955	0.037878429534611076
HURRAH	tabpfn	42	-1	100	100	cox	0.9479469239350043	0.021481651062031933	0.7591007895417565	0.02730944378482226
HURRAH	tabpfn	42	-1	500	500	tab_deepsurv_simple	0.9493110707325174	0.005529573498724789	0.8114024458100648	0.008472345433242833
HURRAH	tabpfn	42	-1	500	500	tab_deepsurv_vanilla	0.9535044679973605	0.00574378776624272	0.7837271742463348	0.029287765841078554
HURRAH	tabpfn	42	-1	500	500	tab_rsf	0.986935788474303	0.0023271785794318736	0.7868572118864355	0.01524799909313901
HURRAH	tabpfn	42	-1	500	500	tab_cox	0.969011962927218	0.0027915956369264274	0.7918425638632856	0.012775359405108037
HURRAH	tabpfn	42	-1	500	500	deepsurv_simple	0.8490612166552708	0.01013160951020981	0.8056859323195414	0.008894427535271388
HURRAH	tabpfn	42	-1	500	500	deepsurv_vanilla	0.8626946178283369	0.03130089829075814	0.7696441514235962	0.01639945432743498
HURRAH	tabpfn	42	-1	500	500	rsf	0.9680183531443791	0.007075946560340715	0.8024340917373756	0.013756540734080443
HURRAH	tabpfn	42	-1	500	500	cox	0.8561950617924854	0.0059259233699574315	0.8086697781267714	0.010447162535406578
