SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 789
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.658437       0.182802
STATINA                                   0.139967       0.059998
GLICEMIA                                  0.069488       0.043745
HCTZ                                      0.063147       0.024854
FAM_CV                                    0.051782       0.027109
OMEGA_3                                   0.049546       0.023680
IMT                                       0.042531       0.017931
SARTANI                                   0.041453       0.009173
ALCOOL                                    0.034822       0.025073
SESSO                                     0.033524       0.015048
NF_FA                                     0.032153       0.012917
CREATININA                                0.026677       0.008017
URICEMIA                                  0.025190       0.008715
HB                                        0.024257       0.008827
PESO                                      0.024051       0.009875
FUMO_ATT                                  0.022407       0.008960
PAS                                       0.022167       0.016074
ATT_FIS_H_SETT                            0.021261       0.012296
INS_CARD                                  0.019592       0.005085
FC                                        0.017978       0.010507
EZETEMIBE                                 0.017926       0.006305
IPERTESO                                  0.017856       0.006501
AZOTEMIA                                  0.017640       0.007164
ETANOLO_G_DIE                             0.016397       0.006530
CT                                        0.015315       0.008442
BETABLOCCANTI                             0.014958       0.002798
FAM_IPERT                                 0.014937       0.004670
BMI                                       0.014438       0.005144
MENOPAUSA                                 0.013799       0.009189
ATT_FIS                                   0.013516       0.005709
CAA_DIID                                  0.013315       0.005238
ANNI_MENOP                                0.012685       0.004404
ACEI                                      0.012350       0.004330
ALTRO_CAA                                 0.012172       0.004997
HT                                        0.011896       0.004102
FA_BASE                                   0.011202       0.004961
PAD                                       0.011108       0.003704
PLACCA                                    0.011102       0.012330
TG                                        0.011079       0.005024
VITA                                      0.010563       0.007063
DIABETE                                   0.009788       0.002883
NORMOMICROMACRO                           0.009722       0.004152
PCR                                       0.008856       0.001445
ALTEZZA                                   0.007777       0.002214
GOTTA                                     0.007211       0.001694
DIURETICI                                 0.007069       0.001359
FU_NF_FA                                  0.006898       0.005246
IRC                                       0.006828       0.002498
INDAPAMIDE                                0.006782       0.001157
ALB_CAT                                   0.006323       0.003877
DELL_ANSA                                 0.005940       0.002140
EXFUMO                                    0.005683       0.001585
CLORTALIDONE                              0.005635       0.003179
ACIDO_NICOTINICO                          0.005387       0.001843
ALLOPURINOLO                              0.005330       0.002257
CBV_BASE                                  0.005052       0.000601
HDL                                       0.004954       0.001419
FIBRATI                                   0.004816       0.002810
RESINE                                    0.004785       0.002908
HF_BASE                                   0.003041       0.001405
IMA_BASE                                  0.002456       0.001369

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.390656       0.089290
FAM_IPERT                                 0.070653       0.047149
GLICEMIA                                  0.069527       0.052770
FAM_CV                                    0.058602       0.029010
ALCOOL                                    0.053024       0.044111
INS_CARD                                  0.040929       0.010307
HCTZ                                      0.037911       0.028497
STATINA                                   0.037850       0.019472
SARTANI                                   0.028858       0.009621
SESSO                                     0.027174       0.016508
PAS                                       0.026857       0.011444
CREATININA                                0.025141       0.008970
ACEI                                      0.022913       0.012505
PESO                                      0.022798       0.008745
HT                                        0.020911       0.010873
OMEGA_3                                   0.020646       0.009805
ATT_FIS_H_SETT                            0.020533       0.013339
FC                                        0.018823       0.013524
AZOTEMIA                                  0.018458       0.009046
ATT_FIS                                   0.018357       0.005546
CT                                        0.018057       0.007161
IMT                                       0.018033       0.012111
HB                                        0.017832       0.005340
ALTEZZA                                   0.016679       0.012912
PCR                                       0.016573       0.010229
NF_FA                                     0.016485       0.023201
PLACCA                                    0.015209       0.006924
PAD                                       0.015054       0.002791
ETANOLO_G_DIE                             0.014513       0.004068
BMI                                       0.014204       0.008215
EZETEMIBE                                 0.014035       0.008988
FUMO_ATT                                  0.013674       0.004936
IRC                                       0.013264       0.005265
BETABLOCCANTI                             0.013224       0.007324
MENOPAUSA                                 0.013208       0.015966
IPERTESO                                  0.012990       0.003687
URICEMIA                                  0.012698       0.007217
CAA_DIID                                  0.012635       0.007916
TG                                        0.011069       0.003392
DIURETICI                                 0.010403       0.003531
INDAPAMIDE                                0.010140       0.006806
ALTRO_CAA                                 0.009903       0.004299
VITA                                      0.009593       0.003986
FA_BASE                                   0.009478       0.005104
DELL_ANSA                                 0.009193       0.003601
GOTTA                                     0.008471       0.006105
ANNI_MENOP                                0.008431       0.006139
DIABETE                                   0.008341       0.005945
HF_BASE                                   0.008168       0.004314
NORMOMICROMACRO                           0.007468       0.004113
EXFUMO                                    0.006825       0.003385
HDL                                       0.006778       0.005489
RESINE                                    0.005734       0.003753
FIBRATI                                   0.005631       0.003108
IMA_BASE                                  0.005588       0.001428
CLORTALIDONE                              0.005157       0.003779
FU_NF_FA                                  0.004816       0.003645
ALB_CAT                                   0.004524       0.003672
ACIDO_NICOTINICO                          0.004314       0.001494
ALLOPURINOLO                              0.004214       0.002487
CBV_BASE                                  0.003562       0.001593

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      12.743662       3.510713
FAM_CV                                    2.645806       1.051397
STATINA                                   2.636572       0.747178
GLICEMIA                                  1.884658       1.224882
SARTANI                                   1.759775       0.334621
ALCOOL                                    1.408282       0.383328
