dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
OrmoniTirodei	tabdpt	456	-1	500	500	tab_deepsurv_simple	0.7465998552713855	0.09493342189357167	0.7019305504348324	0.0161408238952938
OrmoniTirodei	tabdpt	456	-1	500	500	tab_deepsurv_vanilla	0.8434330911254847	0.013648456359245165	0.7529796580056596	0.008173893497095762
OrmoniTirodei	tabdpt	456	-1	500	500	tab_rsf	0.9432813811984483	0.004022353038398174	0.7462605597319028	0.0074786467044638556
OrmoniTirodei	tabdpt	456	-1	500	500	tab_cox	0.9138512795233865	0.01792101444600471	0.7229445033839397	0.010773392726492005
OrmoniTirodei	tabdpt	456	-1	500	500	deepsurv_simple	0.8046316618481452	0.02688825244083263	0.7471029889016981	0.014216472062708258
OrmoniTirodei	tabdpt	456	-1	500	500	deepsurv_vanilla	0.8159853737911898	0.013287831232294567	0.7449959661584491	0.0057049098268295165
OrmoniTirodei	tabdpt	456	-1	500	500	rsf	0.9418764859249265	0.003953630705938951	0.7674607567952778	0.009322018424702856
OrmoniTirodei	tabdpt	456	-1	500	500	cox				
OrmoniTirodei	tabdpt	456	-1	1000	1000	tab_deepsurv_simple	0.8246359981050663	0.02039627974331727	0.7426957095905695	0.021182891969300423
OrmoniTirodei	tabdpt	456	-1	1000	1000	tab_deepsurv_vanilla	0.8332521328369615	0.01408941130795278	0.7664258379707991	0.01435414822014494
OrmoniTirodei	tabdpt	456	-1	1000	1000	tab_rsf	0.9417206415776546	0.003361579176042464	0.7576954230272841	0.017302086817502033
OrmoniTirodei	tabdpt	456	-1	1000	1000	tab_cox	0.8625271333436956	0.004344126148796641	0.7587732028929113	0.014235136335005531
OrmoniTirodei	tabdpt	456	-1	1000	1000	deepsurv_simple	0.7948661861007145	0.010611567282274295	0.7763396010528254	0.01706681470974337
OrmoniTirodei	tabdpt	456	-1	1000	1000	deepsurv_vanilla	0.8020605559749203	0.009130929022385522	0.7676402324829368	0.015206572025353533
OrmoniTirodei	tabdpt	456	-1	1000	1000	rsf	0.9341930421007205	0.004683831904490402	0.784001755827042	0.013599791804659044
OrmoniTirodei	tabdpt	456	-1	1000	1000	cox	0.8080481127214958	0.009214329787101695	0.7786014459081316	0.019715036446349626
OrmoniTirodei	tabdpt	456	-1	2500	2500	tab_deepsurv_simple	0.8211035046362282	0.009012138627823308	0.75452824919344	0.018518257810609253
OrmoniTirodei	tabdpt	456	-1	2500	2500	tab_deepsurv_vanilla	0.8102847094143175	0.012449288376137395	0.7716912715460075	0.01120226660163019
OrmoniTirodei	tabdpt	456	-1	2500	2500	tab_rsf	0.9343025134337758	0.0019844156005966273	0.7652788817342483	0.009602973187999565
OrmoniTirodei	tabdpt	456	-1	2500	2500	tab_cox	0.8283368155701222	0.006291926831157985	0.7639711515322786	0.016488356995473748
OrmoniTirodei	tabdpt	456	-1	2500	2500	deepsurv_simple	0.796285807474855	0.006312821514199988	0.783470470462669	0.015771235326497886
OrmoniTirodei	tabdpt	456	-1	2500	2500	deepsurv_vanilla	0.8065656031901496	0.009103663664474794	0.7819183819260708	0.01755369311939762
OrmoniTirodei	tabdpt	456	-1	2500	2500	rsf	0.9184107821827142	0.002271128588594042	0.7903330679532843	0.010187112429776605
OrmoniTirodei	tabdpt	456	-1	2500	2500	cox	0.8039684035423672	0.007138964843289511	0.7895050938307435	0.015414176700393722
OrmoniTirodei	tabdpt	456	-1	5000	5000	tab_deepsurv_simple	0.795942711502829	0.006791283423830495	0.7642613545455557	0.017035319187547013
OrmoniTirodei	tabdpt	456	-1	5000	5000	tab_deepsurv_vanilla	0.8081829263681264	0.005092656232589279	0.7749036211452035	0.011480105683940667
