dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
OrmoniTirodei	tabicl	77	-1	100	100	tab_deepsurv_simple	0.8681352414243475	0.002996501543138154	0.5843115421388789	0.02814085491204422
OrmoniTirodei	tabicl	77	-1	100	100	tab_deepsurv_vanilla	0.9164545906111506	0.018679173978101128	0.6233800027539216	0.016807557794543095
OrmoniTirodei	tabicl	77	-1	100	100	tab_rsf	0.9294772897456511	0.01231786606832305	0.6087463721189149	0.022027976876561346
OrmoniTirodei	tabicl	77	-1	100	100	tab_cox	0.9966621981685367	0.0011891917338404541	0.5991909872919312	0.038764840547180525
OrmoniTirodei	tabicl	77	-1	100	100	deepsurv_simple	0.7197727253426558	0.04808234242566596	0.6355216935782374	0.014758097633248455
OrmoniTirodei	tabicl	77	-1	100	100	deepsurv_vanilla	0.7534333804389168	0.08689153393469695	0.6270992395283027	0.041772853109758964
OrmoniTirodei	tabicl	77	-1	100	100	rsf	0.9040955141078267	0.014503822586410876	0.7312420142429706	0.01724406874881495
OrmoniTirodei	tabicl	77	-1	100	100	cox				
OrmoniTirodei	tabicl	77	-1	500	500	tab_deepsurv_simple	0.9016425128575303	0.011415923483146363	0.6937681476808824	0.019976193960588105
OrmoniTirodei	tabicl	77	-1	500	500	tab_deepsurv_vanilla	0.9185640584564345	0.018039185983672018	0.6937030382452672	0.021713312923890733
OrmoniTirodei	tabicl	77	-1	500	500	tab_rsf	0.9598472264610335	0.002227756439808219	0.7027529953101547	0.010429074095234242
OrmoniTirodei	tabicl	77	-1	500	500	tab_cox	0.958081736826534	0.006466010761514951	0.6554144406195874	0.01775443455834798
OrmoniTirodei	tabicl	77	-1	500	500	deepsurv_simple	0.7959209911356111	0.01602040106497974	0.7587476546272818	0.009401938479242448
OrmoniTirodei	tabicl	77	-1	500	500	deepsurv_vanilla	0.8119324300951665	0.015117386271982598	0.7343082225995019	0.022485567947965794
OrmoniTirodei	tabicl	77	-1	500	500	rsf	0.9147516617801642	0.008379445252308625	0.7737987491377789	0.016745474496503186
OrmoniTirodei	tabicl	77	-1	500	500	cox	0.7991047872050073	0.0	0.7914776339586073	0.0
OrmoniTirodei	tabicl	77	-1	1000	1000	tab_deepsurv_simple	0.9138133904769553	0.014524455311543076	0.7148195246888975	0.015363066557004847
OrmoniTirodei	tabicl	77	-1	1000	1000	tab_deepsurv_vanilla	0.9249182428076932	0.005224644518943949	0.733990074771707	0.012740418943442397
OrmoniTirodei	tabicl	77	-1	1000	1000	tab_rsf	0.9617783498396127	0.002388676279697848	0.7160896022764499	0.023773579069074225
OrmoniTirodei	tabicl	77	-1	1000	1000	tab_cox	0.9450905062957157	0.0035946504696706158	0.6843748644715723	0.017289335672306706
OrmoniTirodei	tabicl	77	-1	1000	1000	deepsurv_simple	0.8004306260453669	0.022033183687187312	0.7650870176779592	0.009938084518874204
OrmoniTirodei	tabicl	77	-1	1000	1000	deepsurv_vanilla	0.8207679501041991	0.02025046723066218	0.766768307792512	0.01456934490827084
OrmoniTirodei	tabicl	77	-1	1000	1000	rsf	0.9137648801238898	0.0039037419618984126	0.7848591198274191	0.01547192403951971
OrmoniTirodei	tabicl	77	-1	1000	1000	cox	0.8224034189363308	0.008196279747087748	0.7842925894494601	0.011955890894750004
OrmoniTirodei	tabicl	77	-1	2500	2500	tab_deepsurv_simple	0.9192258022893209	0.006172554993892281	0.7182165411414806	0.022168085317190122
OrmoniTirodei	tabicl	77	-1	2500	2500	tab_deepsurv_vanilla	0.9223884720522039	0.004569551194749825	0.7439426716129417	0.015150856547852372
OrmoniTirodei	tabicl	77	-1	2500	2500	tab_rsf	0.9637127015434611	0.0013044645600504424	0.7239274159407192	0.012281539728558036
OrmoniTirodei	tabicl	77	-1	2500	2500	tab_cox	0.9320884791492304	0.001626677704729739	0.7184634318223428	0.01572545190689389
OrmoniTirodei	tabicl	77	-1	2500	2500	deepsurv_simple	0.787877432417923	0.018791269589871852	0.7764587670830714	0.014011240767837945
OrmoniTirodei	tabicl	77	-1	2500	2500	deepsurv_vanilla	0.8083832584775769	0.007103618087018106	0.7842326513805847	0.012525886571427428
OrmoniTirodei	tabicl	77	-1	2500	2500	rsf	0.9120497671514979	0.003460973296815912	0.7907717792355063	0.01121857114533314
OrmoniTirodei	tabicl	77	-1	2500	2500	cox	0.8061492710944327	0.0020996452022617297	0.7908876835079262	0.010736778349980684
OrmoniTirodei	tabicl	77	-1	5000	5000	tab_deepsurv_simple	0.9252614937557659	0.0014693688843547506	0.7319269438444773	0.02363839987732688
OrmoniTirodei	tabicl	77	-1	5000	5000	tab_deepsurv_vanilla	0.9237242019085354	0.002513812382051184	0.7479921580308948	0.018937800297882213
OrmoniTirodei	tabicl	77	-1	5000	5000	tab_rsf	0.963481523081092	0.0013149842731277504	0.7331549720260888	0.015890932114715844
OrmoniTirodei	tabicl	77	-1	5000	5000	tab_cox	0.9273972266124566	0.0009093651919520796	0.7421523602791738	0.01342611280235203
OrmoniTirodei	tabicl	77	-1	5000	5000	deepsurv_simple	0.7893176878156598	0.011147282824149247	0.7847507881142406	0.010439774612110162
OrmoniTirodei	tabicl	77	-1	5000	5000	deepsurv_vanilla	0.8059510367954799	0.002028413151998192	0.790874198860745	0.012594097223705051
OrmoniTirodei	tabicl	77	-1	5000	5000	rsf	0.9083204463424469	0.002565013860520946	0.794725164168511	0.012155598468940312
OrmoniTirodei	tabicl	77	-1	5000	5000	cox	0.8013736479721769	0.0026262151498215834	0.7936675329044511	0.010863327064428786
OrmoniTirodei	tabicl	77	-1	10000	5161	tab_deepsurv_simple	0.9230169056794963	0.0025434815278575777	0.7277854057005773	0.016961199295723674
OrmoniTirodei	tabicl	77	-1	10000	5161	tab_deepsurv_vanilla	0.9224114937275963	0.0005438461910905049	0.748378209317776	0.005640373023317067
OrmoniTirodei	tabicl	77	-1	10000	5161	tab_rsf	0.9631935583494536	0.0013129678579026848	0.7310219284928217	0.01751208550210012
OrmoniTirodei	tabicl	77	-1	10000	5161	tab_cox	0.9272449498578419	0.0010928538928892803	0.7430037331185502	0.01314686576626329
OrmoniTirodei	tabicl	77	-1	10000	5161	deepsurv_simple	0.7828969140716187	0.0067987381027118645	0.777795749295551	0.013660689724414657
OrmoniTirodei	tabicl	77	-1	10000	5161	deepsurv_vanilla	0.8024916085520409	0.004975291492742504	0.7902971012693225	0.009493281203002682
OrmoniTirodei	tabicl	77	-1	10000	5161	rsf	0.9081155938232959	0.0024431142775035125	0.7968596659131261	0.008739757563838501
OrmoniTirodei	tabicl	77	-1	10000	5161	cox	0.8007369090697776	0.0023770477583828385	0.7938280240452353	0.010610488288241349
