SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.503284      0.073586
Creatinina                                    0.137406      0.029551
fe                                            0.111231      0.030370
Ipolipemizzanti                               0.081337      0.032856
Angiography                                   0.061747      0.027935
Diuretics                                     0.057843      0.019273
DimPP                                         0.054448      0.012965
fT4                                           0.050074      0.014869
fT3                                           0.047953      0.016363
Vessels                                       0.038020      0.017768
vsx                                           0.021647      0.008147
Dyslipidemia
Hystory of dyslipidemia                       0.019597      0.016217
TSH                                           0.018259      0.007773
LDL                                           0.017791      0.007565
B-Blockers                                    0.017613      0.010399
EPA                                           0.016699      0.005225
Valvulopatie                                  0.016466      0.013334
HR                                            0.013496      0.005099
Height                                        0.012184      0.006624
PCI                                           0.012021      0.006448
WmsiBas                                       0.011202      0.005486
Diastolic blood pressure                      0.009769      0.003448
Euthyroid                                     0.009298      0.003168
Diabetes
History of diabetes                           0.009130      0.003686
Glycemia                                      0.009037      0.004890
Systolic blood pressure                       0.008873      0.002202
Ipertensione                                  0.008843      0.003870
BMI                                           0.008762      0.003171
Weight                                        0.008682      0.002996
Gender (Male = 1)                             0.008588      0.005554
DimSettoIV                                    0.008086      0.002972
Nitrates                                      0.008032      0.004723
Total cholesterol                             0.008020      0.003062
Antidiabetici                                 0.007927      0.002781
Atrial Fibrillation                           0.007526      0.002400
Previous Myocardial Infarction                0.007363      0.002951
Low T3                                        0.007197      0.003098
HDL                                           0.006781      0.002422
Amiodarone                                    0.006681      0.002457
PMI                                           0.006562      0.002448
Previous CABG                                 0.006304      0.002571
Normal                                        0.005622      0.003563
Primary Dilated
Cardiomyopathy                                0.005598      0.003634
CAD                                           0.005580      0.002028
CABG                                          0.005345      0.001663
Aritmie                                       0.005318      0.002218
Documented resting
or exertional ischemia                        0.005292      0.002798
MalattiaVasoAorta                             0.005217      0.002517
Subclinical primary hypothyroidism (SCH)      0.005182      0.002140
Acute Myocardial Infarction                   0.005131      0.002168
Post-ischemic Dilated
Cardiomyopathy                                0.005070      0.002622
Non Fatal AMI (Follow-Up)_event               0.005056      0.001710
Triglycerides                                 0.005021      0.001714
Smoke
History of smoke                              0.004895      0.002058
Subclinical primary hyperthyroidism
(SCT)                                         0.004759      0.002108
Hypertension
History of hypertension                       0.004739      0.002076
Non Fatal AMI (Follow-Up)                     0.004696      0.002060
Calcium channel blockers                      0.004530      0.001588
CABG _event                                   0.004517      0.001664
AMI                                           0.004370      0.001887
Ipertiroidismo                                0.004364      0.002649
PCI_event                                     0.004344      0.001122
ACE-inhibitors                                0.004338      0.002035
Previous PCI                                  0.004304      0.001584
Ipotiroidismo                                 0.004141      0.002094
Antiplatelet                                  0.004112      0.001277
Angina                                        0.004014      0.001930
MIN                                           0.003519      0.002174
Pericardite                                   0.003435      0.002442
Ictus                                         0.002794      0.002820
Ictus_event                                   0.002621      0.002391
Miocardite                                    0.002324      0.002412
SindromeX                                     0.001414      0.001932
MIO                                           0.001002      0.001554
EmboliaPolmonare                              0.000728      0.001243
Endocardite                                   0.000522      0.000569

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.465098      0.129538
Creatinina                                    0.129147      0.041073
fe                                            0.087082      0.025594
Ipolipemizzanti                               0.071214      0.050330
