dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
OrmoniTirodei	tabpfn	789	-1	100	100	tab_deepsurv_simple	0.91659516224998	0.012661709013949175	0.7385196864912913	0.02383096950314157
OrmoniTirodei	tabpfn	789	-1	100	100	tab_deepsurv_vanilla	0.9259556571079773	0.015311321894706107	0.7395862303266135	0.0237285574250403
OrmoniTirodei	tabpfn	789	-1	100	100	tab_rsf	0.9591913252936264	0.005815398005283798	0.7281302591399961	0.03680055183742388
OrmoniTirodei	tabpfn	789	-1	100	100	tab_cox	0.9628176395249026	0.013088014305211695	0.5421730833538649	0.0773685532434369
OrmoniTirodei	tabpfn	789	-1	100	100	deepsurv_simple	0.7843320480664845	0.0757724495888264	0.6468111355861395	0.01282454846504167
OrmoniTirodei	tabpfn	789	-1	100	100	deepsurv_vanilla	0.7034578350938155	0.09733731021917011	0.5970002329998045	0.053791792800404775
OrmoniTirodei	tabpfn	789	-1	100	100	rsf	0.9683970463514896	0.01516948193176226	0.71704725641223	0.021116445828272712
OrmoniTirodei	tabpfn	789	-1	100	100	cox				
OrmoniTirodei	tabpfn	789	-1	500	500	tab_deepsurv_simple	0.9067091426450464	0.007510668933424653	0.7777721110400158	0.013395378619957186
OrmoniTirodei	tabpfn	789	-1	500	500	tab_deepsurv_vanilla	0.9140364908489869	0.009671275674918002	0.7786243578882538	0.014356589160700237
OrmoniTirodei	tabpfn	789	-1	500	500	tab_rsf	0.9668674944575353	0.004509805166110062	0.7673867117523528	0.019481837562954876
OrmoniTirodei	tabpfn	789	-1	500	500	tab_cox	0.9260619386372438	0.010318159241781207	0.683875111697302	0.18209047383285443
OrmoniTirodei	tabpfn	789	-1	500	500	deepsurv_simple	0.8102544232383171	0.012803806895644435	0.7598653595883567	0.010688699697660944
OrmoniTirodei	tabpfn	789	-1	500	500	deepsurv_vanilla	0.8253405575718744	0.015871808330349124	0.7435275137715023	0.013227014167180463
OrmoniTirodei	tabpfn	789	-1	500	500	rsf	0.9455606861281709	0.008731459393122608	0.7754127663487578	0.007712030285159964
OrmoniTirodei	tabpfn	789	-1	500	500	cox	0.8304995502947548	0.011220252763336465	0.7754849898436621	0.008095765858150713
OrmoniTirodei	tabpfn	789	-1	1000	1000	tab_deepsurv_simple	0.9016349668657785	0.005940220405071161	0.7846737553800593	0.005558732643370829
