SHAP — OrmoniTirodei | tabpfn | preprocess: NaN | seed: 456
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
Age                                       0.653754       0.060184
Ipolipemizzanti                           0.223242       0.070763
Creatinina                                0.145431       0.023753
fe                                        0.083816       0.007597
fT3                                       0.068198       0.015416
DimPP                                     0.066359       0.030917
fT4                                       0.063542       0.038895
Vessels                                   0.042765       0.020319
Diuretics                                 0.032309       0.008515
vsx                                       0.027777       0.007558
EPA                                       0.025119       0.012104
WmsiBas                                   0.023103       0.012254
Valvulopatie                              0.022496       0.021436
HR                                        0.019870       0.011041
Angiography                               0.019647       0.014782
Weight                                    0.017537       0.004782
Systolic blood pressure                   0.017533       0.015340
PCI                                       0.017169       0.007215
Height                                    0.015854       0.007017
BMI                                       0.015179       0.004325
Antidiabetici                             0.014283       0.003766
Diastolic blood pressure                  0.014173       0.005399
LDL                                       0.012282       0.004626
B-Blockers                                0.012279       0.005972
TSH                                       0.012025       0.003734
Euthyroid                                 0.010494       0.002701
PCI_event                                 0.010196       0.010485
Diabetes
History of diabetes              0.009367       0.006871
PMI                                       0.009323       0.002480
Nitrates                                  0.008365       0.003597
ACE-inhibitors                            0.008258       0.005722
Low T3                                    0.008216       0.001975
Glycemia                                  0.008152       0.003594
Normal                                    0.007781       0.002774
Gender (Male = 1)                         0.007508       0.003915
CABG _event                               0.007351       0.003432
Amiodarone                                0.007292       0.003683
Previous Myocardial Infarction            0.007035       0.003130
HDL                                       0.006609       0.002577
DimSettoIV                                0.006577       0.002156
Angina                                    0.006041       0.003442
Previous CABG                             0.005943       0.000620
MalattiaVasoAorta                         0.005886       0.002652
AMI                                       0.005880       0.002656
Dyslipidemia
Hystory of dyslipidemia       0.005868       0.001899
Previous PCI                              0.005749       0.002066
Post-ischemic Dilated
Cardiomyopathy       0.005733       0.002115
CABG                                      0.005661       0.000881
Hypertension
History of hypertension       0.005492       0.001398
Triglycerides                             0.005359       0.002607
Aritmie                                   0.005062       0.001807
Acute Myocardial Infarction               0.005054       0.002045
Primary Dilated
Cardiomyopathy            0.004999       0.001980
Documented resting 
or exertional ischemia       0.004834       0.001928
Antiplatelet                              0.004699       0.001913
Calcium channel blockers                  0.004610       0.002707
CAD                                       0.004569       0.001988
Ipotiroidismo                             0.004502       0.001601
Atrial Fibrillation                       0.004416       0.003227
Subclinical primary hypothyroidism (SCH)       0.004416       0.001737
Ipertiroidismo                            0.004352       0.001813
Non Fatal AMI (Follow-Up)                 0.004338       0.001556
Non Fatal AMI (Follow-Up)_event           0.004321       0.001141
Miocardite                                0.004003       0.003363
Ipertensione                              0.003992       0.000878
MIN                                       0.003825       0.002592
Total cholesterol                         0.003766       0.001030
Ictus_event                               0.003744       0.003597
Smoke
History of smoke                    0.003516       0.002032
MIO                                       0.002934       0.004415
Pericardite                               0.002615       0.002293
Subclinical primary hyperthyroidism
(SCT)       0.002384       0.001498
SindromeX                                 0.002040       0.002627
Ictus                                     0.001510       0.002060
Endocardite                               0.001382       0.002764
EmboliaPolmonare                          0.000000       0.000000

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
Age                                       0.520075       0.086875
Ipolipemizzanti                           0.192626       0.056872
Creatinina                                0.116216       0.037599
fT3                                       0.083661       0.036734
fT4                                       0.056834       0.011911
Vessels                                   0.054137       0.044057
fe                                        0.051938       0.018784
DimPP                                     0.043551       0.007294
vsx                                       0.031719       0.021429
HR                                        0.028233       0.017688
Angiography                               0.026941       0.013487
EPA                                       0.025260       0.011245
B-Blockers                                0.024662       0.012881
Diuretics                                 0.021404       0.006033
