TabICL-HURRAH
# Aggregated over 5 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.783 ± 0.010 | 0.758 ± 0.009 | 0.822 ± 0.008    | 0.821 ± 0.008 | 0.819 ± 0.008 | 0.819 ± 0.008 |
| (0.1, 'Cox Simple')  | 0.758 ± 0.016 | 0.675 ± 0.043 | 0.813 ± 0.013    | 0.811 ± 0.014 | 0.805 ± 0.012 | 0.806 ± 0.013 |
| (0.1, 'Cox Vanilla') | 0.803 ± 0.027 | 0.734 ± 0.028 | 0.835 ± 0.009    | 0.822 ± 0.029 | 0.829 ± 0.010 | 0.801 ± 0.054 |
| (0.1, 'RSF')         | 0.839 ± 0.008 | 0.742 ± 0.014 | 0.846 ± 0.007    | 0.845 ± 0.007 | 0.843 ± 0.008 | 0.843 ± 0.008 |
| (0.3, 'Cox')         | 0.748 ± 0.011 | 0.750 ± 0.008 | 0.809 ± 0.008    | 0.804 ± 0.009 | 0.801 ± 0.009 | 0.800 ± 0.009 |
| (0.3, 'Cox Simple')  | 0.722 ± 0.014 | 0.598 ± 0.092 | 0.794 ± 0.013    | 0.793 ± 0.012 | 0.789 ± 0.012 | 0.788 ± 0.012 |
| (0.3, 'Cox Vanilla') | 0.768 ± 0.024 | 0.708 ± 0.037 | 0.806 ± 0.021    | 0.791 ± 0.031 | 0.784 ± 0.035 | 0.792 ± 0.022 |
| (0.3, 'RSF')         | 0.819 ± 0.008 | 0.701 ± 0.012 | 0.833 ± 0.008    | 0.827 ± 0.008 | 0.828 ± 0.008 | 0.826 ± 0.008 |
| (0.5, 'Cox')         | 0.724 ± 0.012 | 0.712 ± 0.011 | 0.792 ± 0.009    | 0.786 ± 0.009 | 0.780 ± 0.009 | 0.778 ± 0.010 |
| (0.5, 'Cox Simple')  | 0.688 ± 0.018 | 0.575 ± 0.084 | 0.782 ± 0.011    | 0.777 ± 0.012 | 0.765 ± 0.013 | 0.761 ± 0.012 |
| (0.5, 'Cox Vanilla') | 0.735 ± 0.030 | 0.656 ± 0.066 | 0.789 ± 0.020    | 0.758 ± 0.050 | 0.760 ± 0.032 | 0.768 ± 0.024 |
| (0.5, 'RSF')         | 0.791 ± 0.010 | 0.665 ± 0.016 | 0.817 ± 0.008    | 0.811 ± 0.008 | 0.804 ± 0.008 | 0.802 ± 0.009 |
| (0.7, 'Cox')         | 0.695 ± 0.011 | 0.674 ± 0.015 | 0.755 ± 0.010    | 0.744 ± 0.010 | 0.750 ± 0.010 | 0.747 ± 0.011 |
| (0.7, 'Cox Simple')  | 0.657 ± 0.016 | 0.549 ± 0.049 | 0.741 ± 0.017    | 0.727 ± 0.017 | 0.736 ± 0.017 | 0.734 ± 0.017 |
| (0.7, 'Cox Vanilla') | 0.676 ± 0.042 | 0.596 ± 0.057 | 0.744 ± 0.025    | 0.723 ± 0.029 | 0.734 ± 0.023 | 0.735 ± 0.024 |
| (0.7, 'RSF')         | 0.745 ± 0.012 | 0.655 ± 0.013 | 0.780 ± 0.010    | 0.762 ± 0.012 | 0.762 ± 0.009 | 0.758 ± 0.008 |
| (0.9, 'Cox')         | 0.631 ± 0.011 | 0.553 ± 0.014 | 0.686 ± 0.011    | 0.650 ± 0.009 | 0.689 ± 0.009 | 0.682 ± 0.010 |
| (0.9, 'Cox Simple')  | 0.600 ± 0.014 | 0.493 ± 0.044 | 0.669 ± 0.014    | 0.627 ± 0.015 | 0.674 ± 0.012 | 0.667 ± 0.013 |
| (0.9, 'Cox Vanilla') | 0.609 ± 0.017 | 0.567 ± 0.030 | 0.665 ± 0.023    | 0.621 ± 0.036 | 0.672 ± 0.014 | 0.664 ± 0.023 |
| (0.9, 'RSF')         | 0.655 ± 0.012 | 0.568 ± 0.012 | 0.683 ± 0.008    | 0.646 ± 0.010 | 0.670 ± 0.010 | 0.667 ± 0.010 |

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.787 ± 0.003 | 0.963 ± 0.001 | 0.824 ± 0.002    | 0.823 ± 0.001 | 0.821 ± 0.001 | 0.821 ± 0.001 |
| (0.1, 'Cox Simple')  | 0.763 ± 0.012 | 0.963 ± 0.002 | 0.817 ± 0.012    | 0.814 ± 0.012 | 0.808 ± 0.013 | 0.808 ± 0.013 |
| (0.1, 'Cox Vanilla') | 0.829 ± 0.034 | 0.966 ± 0.003 | 0.848 ± 0.010    | 0.832 ± 0.033 | 0.843 ± 0.011 | 0.815 ± 0.055 |
| (0.1, 'RSF')         | 0.924 ± 0.001 | 0.987 ± 0.001 | 0.924 ± 0.001    | 0.920 ± 0.001 | 0.923 ± 0.001 | 0.918 ± 0.001 |
| (0.3, 'Cox')         | 0.753 ± 0.004 | 0.961 ± 0.001 | 0.812 ± 0.002    | 0.806 ± 0.002 | 0.805 ± 0.002 | 0.803 ± 0.002 |
| (0.3, 'Cox Simple')  | 0.729 ± 0.010 | 0.961 ± 0.002 | 0.797 ± 0.013    | 0.796 ± 0.005 | 0.794 ± 0.005 | 0.791 ± 0.005 |
| (0.3, 'Cox Vanilla') | 0.810 ± 0.040 | 0.963 ± 0.004 | 0.818 ± 0.022    | 0.803 ± 0.032 | 0.798 ± 0.039 | 0.806 ± 0.025 |
| (0.3, 'RSF')         | 0.917 ± 0.001 | 0.987 ± 0.001 | 0.927 ± 0.001    | 0.923 ± 0.001 | 0.918 ± 0.002 | 0.906 ± 0.002 |
| (0.5, 'Cox')         | 0.729 ± 0.004 | 0.959 ± 0.001 | 0.793 ± 0.003    | 0.788 ± 0.002 | 0.784 ± 0.002 | 0.782 ± 0.003 |
| (0.5, 'Cox Simple')  | 0.695 ± 0.015 | 0.960 ± 0.002 | 0.785 ± 0.005    | 0.780 ± 0.007 | 0.770 ± 0.005 | 0.768 ± 0.007 |
| (0.5, 'Cox Vanilla') | 0.791 ± 0.049 | 0.956 ± 0.015 | 0.799 ± 0.022    | 0.771 ± 0.052 | 0.774 ± 0.031 | 0.781 ± 0.026 |
| (0.5, 'RSF')         | 0.897 ± 0.002 | 0.987 ± 0.000 | 0.928 ± 0.001    | 0.917 ± 0.002 | 0.904 ± 0.002 | 0.882 ± 0.002 |
| (0.7, 'Cox')         | 0.704 ± 0.004 | 0.957 ± 0.001 | 0.759 ± 0.004    | 0.749 ± 0.003 | 0.757 ± 0.003 | 0.754 ± 0.003 |
| (0.7, 'Cox Simple')  | 0.664 ± 0.011 | 0.957 ± 0.002 | 0.744 ± 0.014    | 0.730 ± 0.016 | 0.739 ± 0.015 | 0.738 ± 0.011 |
| (0.7, 'Cox Vanilla') | 0.743 ± 0.064 | 0.959 ± 0.003 | 0.758 ± 0.025    | 0.740 ± 0.031 | 0.749 ± 0.025 | 0.752 ± 0.025 |
| (0.7, 'RSF')         | 0.855 ± 0.003 | 0.987 ± 0.001 | 0.927 ± 0.005    | 0.920 ± 0.003 | 0.866 ± 0.003 | 0.836 ± 0.002 |
| (0.9, 'Cox')         | 0.646 ± 0.005 | 0.955 ± 0.001 | 0.692 ± 0.005    | 0.663 ± 0.006 | 0.696 ± 0.005 | 0.690 ± 0.005 |
| (0.9, 'Cox Simple')  | 0.612 ± 0.011 | 0.956 ± 0.002 | 0.677 ± 0.010    | 0.640 ± 0.011 | 0.683 ± 0.009 | 0.677 ± 0.008 |
| (0.9, 'Cox Vanilla') | 0.672 ± 0.030 | 0.957 ± 0.003 | 0.678 ± 0.022    | 0.654 ± 0.043 | 0.687 ± 0.018 | 0.678 ± 0.025 |
| (0.9, 'RSF')         | 0.759 ± 0.005 | 0.990 ± 0.001 | 0.896 ± 0.010    | 0.916 ± 0.006 | 0.782 ± 0.005 | 0.745 ± 0.005 |

=== NaN Ratio: 0.1 ===

-- Cox --
          constant | Train: 0.787 ± 0.003 | Test: 0.783 ± 0.010
        embeddings | Train: 0.963 ± 0.001 | Test: 0.758 ± 0.009
  imputer_bayesian | Train: 0.824 ± 0.002 | Test: 0.822 ± 0.008
               knn | Train: 0.823 ± 0.001 | Test: 0.821 ± 0.008
              mean | Train: 0.821 ± 0.001 | Test: 0.819 ± 0.008
            median | Train: 0.821 ± 0.001 | Test: 0.819 ± 0.008

-- Cox Simple --
          constant | Train: 0.763 ± 0.012 | Test: 0.758 ± 0.016
        embeddings | Train: 0.963 ± 0.002 | Test: 0.675 ± 0.043
  imputer_bayesian | Train: 0.817 ± 0.012 | Test: 0.813 ± 0.013
               knn | Train: 0.814 ± 0.012 | Test: 0.811 ± 0.014
              mean | Train: 0.808 ± 0.013 | Test: 0.805 ± 0.012
            median | Train: 0.808 ± 0.013 | Test: 0.806 ± 0.013

-- Cox Vanilla --
          constant | Train: 0.829 ± 0.034 | Test: 0.803 ± 0.027
        embeddings | Train: 0.966 ± 0.003 | Test: 0.734 ± 0.028
  imputer_bayesian | Train: 0.848 ± 0.010 | Test: 0.835 ± 0.009
               knn | Train: 0.832 ± 0.033 | Test: 0.822 ± 0.029
              mean | Train: 0.843 ± 0.011 | Test: 0.829 ± 0.010
            median | Train: 0.815 ± 0.055 | Test: 0.801 ± 0.054

-- RSF --
          constant | Train: 0.924 ± 0.001 | Test: 0.839 ± 0.008
        embeddings | Train: 0.987 ± 0.001 | Test: 0.742 ± 0.014
  imputer_bayesian | Train: 0.924 ± 0.001 | Test: 0.846 ± 0.007
               knn | Train: 0.920 ± 0.001 | Test: 0.845 ± 0.007
              mean | Train: 0.923 ± 0.001 | Test: 0.843 ± 0.008
            median | Train: 0.918 ± 0.001 | Test: 0.843 ± 0.008

=== NaN Ratio: 0.3 ===

-- Cox --
          constant | Train: 0.753 ± 0.004 | Test: 0.748 ± 0.011
        embeddings | Train: 0.961 ± 0.001 | Test: 0.750 ± 0.008
  imputer_bayesian | Train: 0.812 ± 0.002 | Test: 0.809 ± 0.008
               knn | Train: 0.806 ± 0.002 | Test: 0.804 ± 0.009
              mean | Train: 0.805 ± 0.002 | Test: 0.801 ± 0.009
            median | Train: 0.803 ± 0.002 | Test: 0.800 ± 0.009

-- Cox Simple --
          constant | Train: 0.729 ± 0.010 | Test: 0.722 ± 0.014
        embeddings | Train: 0.961 ± 0.002 | Test: 0.598 ± 0.092
  imputer_bayesian | Train: 0.797 ± 0.013 | Test: 0.794 ± 0.013
               knn | Train: 0.796 ± 0.005 | Test: 0.793 ± 0.012
              mean | Train: 0.794 ± 0.005 | Test: 0.789 ± 0.012
            median | Train: 0.791 ± 0.005 | Test: 0.788 ± 0.012

-- Cox Vanilla --
          constant | Train: 0.810 ± 0.040 | Test: 0.768 ± 0.024
        embeddings | Train: 0.963 ± 0.004 | Test: 0.708 ± 0.037
  imputer_bayesian | Train: 0.818 ± 0.022 | Test: 0.806 ± 0.021
               knn | Train: 0.803 ± 0.032 | Test: 0.791 ± 0.031
              mean | Train: 0.798 ± 0.039 | Test: 0.784 ± 0.035
            median | Train: 0.806 ± 0.025 | Test: 0.792 ± 0.022

-- RSF --
          constant | Train: 0.917 ± 0.001 | Test: 0.819 ± 0.008
        embeddings | Train: 0.987 ± 0.001 | Test: 0.701 ± 0.012
  imputer_bayesian | Train: 0.927 ± 0.001 | Test: 0.833 ± 0.008
               knn | Train: 0.923 ± 0.001 | Test: 0.827 ± 0.008
              mean | Train: 0.918 ± 0.002 | Test: 0.828 ± 0.008
            median | Train: 0.906 ± 0.002 | Test: 0.826 ± 0.008

=== NaN Ratio: 0.5 ===

-- Cox --
          constant | Train: 0.729 ± 0.004 | Test: 0.724 ± 0.012
        embeddings | Train: 0.959 ± 0.001 | Test: 0.712 ± 0.011
  imputer_bayesian | Train: 0.793 ± 0.003 | Test: 0.792 ± 0.009
               knn | Train: 0.788 ± 0.002 | Test: 0.786 ± 0.009
              mean | Train: 0.784 ± 0.002 | Test: 0.780 ± 0.009
            median | Train: 0.782 ± 0.003 | Test: 0.778 ± 0.010

-- Cox Simple --
          constant | Train: 0.695 ± 0.015 | Test: 0.688 ± 0.018
        embeddings | Train: 0.960 ± 0.002 | Test: 0.575 ± 0.084
  imputer_bayesian | Train: 0.785 ± 0.005 | Test: 0.782 ± 0.011
               knn | Train: 0.780 ± 0.007 | Test: 0.777 ± 0.012
              mean | Train: 0.770 ± 0.005 | Test: 0.765 ± 0.013
            median | Train: 0.768 ± 0.007 | Test: 0.761 ± 0.012

-- Cox Vanilla --
          constant | Train: 0.791 ± 0.049 | Test: 0.735 ± 0.030
        embeddings | Train: 0.956 ± 0.015 | Test: 0.656 ± 0.066
  imputer_bayesian | Train: 0.799 ± 0.022 | Test: 0.789 ± 0.020
               knn | Train: 0.771 ± 0.052 | Test: 0.758 ± 0.050
              mean | Train: 0.774 ± 0.031 | Test: 0.760 ± 0.032
            median | Train: 0.781 ± 0.026 | Test: 0.768 ± 0.024

-- RSF --
          constant | Train: 0.897 ± 0.002 | Test: 0.791 ± 0.010
        embeddings | Train: 0.987 ± 0.000 | Test: 0.665 ± 0.016
  imputer_bayesian | Train: 0.928 ± 0.001 | Test: 0.817 ± 0.008
               knn | Train: 0.917 ± 0.002 | Test: 0.811 ± 0.008
              mean | Train: 0.904 ± 0.002 | Test: 0.804 ± 0.008
            median | Train: 0.882 ± 0.002 | Test: 0.802 ± 0.009

=== NaN Ratio: 0.7 ===

-- Cox --
          constant | Train: 0.704 ± 0.004 | Test: 0.695 ± 0.011
        embeddings | Train: 0.957 ± 0.001 | Test: 0.674 ± 0.015
  imputer_bayesian | Train: 0.759 ± 0.004 | Test: 0.755 ± 0.010
               knn | Train: 0.749 ± 0.003 | Test: 0.744 ± 0.010
              mean | Train: 0.757 ± 0.003 | Test: 0.750 ± 0.010
            median | Train: 0.754 ± 0.003 | Test: 0.747 ± 0.011

-- Cox Simple --
          constant | Train: 0.664 ± 0.011 | Test: 0.657 ± 0.016
        embeddings | Train: 0.957 ± 0.002 | Test: 0.549 ± 0.049
  imputer_bayesian | Train: 0.744 ± 0.014 | Test: 0.741 ± 0.017
               knn | Train: 0.730 ± 0.016 | Test: 0.727 ± 0.017
              mean | Train: 0.739 ± 0.015 | Test: 0.736 ± 0.017
            median | Train: 0.738 ± 0.011 | Test: 0.734 ± 0.017

-- Cox Vanilla --
          constant | Train: 0.743 ± 0.064 | Test: 0.676 ± 0.042
        embeddings | Train: 0.959 ± 0.003 | Test: 0.596 ± 0.057
  imputer_bayesian | Train: 0.758 ± 0.025 | Test: 0.744 ± 0.025
               knn | Train: 0.740 ± 0.031 | Test: 0.723 ± 0.029
              mean | Train: 0.749 ± 0.025 | Test: 0.734 ± 0.023
            median | Train: 0.752 ± 0.025 | Test: 0.735 ± 0.024

-- RSF --
          constant | Train: 0.855 ± 0.003 | Test: 0.745 ± 0.012
        embeddings | Train: 0.987 ± 0.001 | Test: 0.655 ± 0.013
  imputer_bayesian | Train: 0.927 ± 0.005 | Test: 0.780 ± 0.010
               knn | Train: 0.920 ± 0.003 | Test: 0.762 ± 0.012
              mean | Train: 0.866 ± 0.003 | Test: 0.762 ± 0.009
            median | Train: 0.836 ± 0.002 | Test: 0.758 ± 0.008

=== NaN Ratio: 0.9 ===

-- Cox --
          constant | Train: 0.646 ± 0.005 | Test: 0.631 ± 0.011
        embeddings | Train: 0.955 ± 0.001 | Test: 0.553 ± 0.014
  imputer_bayesian | Train: 0.692 ± 0.005 | Test: 0.686 ± 0.011
               knn | Train: 0.663 ± 0.006 | Test: 0.650 ± 0.009
              mean | Train: 0.696 ± 0.005 | Test: 0.689 ± 0.009
            median | Train: 0.690 ± 0.005 | Test: 0.682 ± 0.010

-- Cox Simple --
          constant | Train: 0.612 ± 0.011 | Test: 0.600 ± 0.014
        embeddings | Train: 0.956 ± 0.002 | Test: 0.493 ± 0.044
  imputer_bayesian | Train: 0.677 ± 0.010 | Test: 0.669 ± 0.014
