|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.781 ± 0.010 | 0.762 ± 0.007 | 0.821 ± 0.008      | 0.821 ± 0.008 | 0.819 ± 0.009 | 0.818 ± 0.009 |
| (0.1, 'Cox Simple')  | 0.752 ± 0.027 | 0.678 ± 0.024 | 0.807 ± 0.014      | 0.810 ± 0.012 | 0.807 ± 0.006 | 0.805 ± 0.010 |
| (0.1, 'Cox Vanilla') | 0.815 ± 0.006 | 0.719 ± 0.047 | 0.838 ± 0.006      | 0.836 ± 0.006 | 0.829 ± 0.010 | 0.791 ± 0.077 |
| (0.1, 'RSF')         | 0.839 ± 0.011 | 0.740 ± 0.018 | 0.846 ± 0.011      | 0.845 ± 0.010 | 0.843 ± 0.010 | 0.842 ± 0.011 |
| (0.3, 'Cox')         | 0.749 ± 0.013 | 0.752 ± 0.006 | 0.808 ± 0.010      | 0.804 ± 0.013 | 0.801 ± 0.013 | 0.799 ± 0.014 |
| (0.3, 'Cox Simple')  | 0.722 ± 0.016 | 0.640 ± 0.104 | 0.792 ± 0.012      | 0.791 ± 0.012 | 0.790 ± 0.015 | 0.790 ± 0.012 |
| (0.3, 'Cox Vanilla') | 0.758 ± 0.042 | 0.687 ± 0.055 | 0.808 ± 0.004      | 0.797 ± 0.013 | 0.738 ± 0.101 | 0.793 ± 0.012 |
| (0.3, 'RSF')         | 0.817 ± 0.010 | 0.698 ± 0.012 | 0.834 ± 0.009      | 0.827 ± 0.011 | 0.826 ± 0.010 | 0.825 ± 0.011 |
| (0.5, 'Cox')         | 0.727 ± 0.010 | 0.711 ± 0.008 | 0.792 ± 0.010      | 0.785 ± 0.010 | 0.780 ± 0.012 | 0.777 ± 0.013 |
| (0.5, 'Cox Simple')  | 0.678 ± 0.021 | 0.570 ± 0.094 | 0.785 ± 0.012      | 0.776 ± 0.010 | 0.763 ± 0.011 | 0.761 ± 0.010 |
| (0.5, 'Cox Vanilla') | 0.729 ± 0.044 | 0.690 ± 0.035 | 0.795 ± 0.008      | 0.750 ± 0.067 | 0.768 ± 0.020 | 0.756 ± 0.038 |
| (0.5, 'RSF')         | 0.788 ± 0.013 | 0.657 ± 0.017 | 0.816 ± 0.008      | 0.809 ± 0.008 | 0.801 ± 0.009 | 0.800 ± 0.010 |
| (0.7, 'Cox')         | 0.697 ± 0.010 | 0.683 ± 0.013 | 0.757 ± 0.014      | 0.747 ± 0.016 | 0.754 ± 0.014 | 0.750 ± 0.014 |
| (0.7, 'Cox Simple')  | 0.655 ± 0.015 | 0.648 ± 0.044 | 0.743 ± 0.021      | 0.736 ± 0.018 | 0.745 ± 0.015 | 0.730 ± 0.028 |
| (0.7, 'Cox Vanilla') | 0.657 ± 0.066 | 0.564 ± 0.059 | 0.739 ± 0.031      | 0.699 ± 0.044 | 0.705 ± 0.053 | 0.726 ± 0.034 |
| (0.7, 'RSF')         | 0.745 ± 0.016 | 0.648 ± 0.009 | 0.778 ± 0.015      | 0.762 ± 0.013 | 0.762 ± 0.013 | 0.757 ± 0.011 |
| (0.9, 'Cox')         | 0.627 ± 0.010 | 0.557 ± 0.012 | 0.684 ± 0.011      | 0.653 ± 0.003 | 0.689 ± 0.010 | 0.682 ± 0.013 |
| (0.9, 'Cox Simple')  | 0.599 ± 0.013 | 0.474 ± 0.048 | 0.667 ± 0.012      | 0.629 ± 0.012 | 0.673 ± 0.009 | 0.669 ± 0.015 |
| (0.9, 'Cox Vanilla') | 0.613 ± 0.012 | 0.582 ± 0.016 | 0.650 ± 0.021      | 0.614 ± 0.055 | 0.677 ± 0.007 | 0.672 ± 0.010 |
| (0.9, 'RSF')         | 0.651 ± 0.009 | 0.566 ± 0.021 | 0.682 ± 0.004      | 0.646 ± 0.014 | 0.669 ± 0.009 | 0.665 ± 0.012 |
|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.786 ± 0.003 | 0.963 ± 0.001 | 0.824 ± 0.002      | 0.823 ± 0.002 | 0.821 ± 0.002 | 0.820 ± 0.002 |
| (0.1, 'Cox Simple')  | 0.757 ± 0.022 | 0.962 ± 0.002 | 0.813 ± 0.014      | 0.815 ± 0.010 | 0.813 ± 0.008 | 0.810 ± 0.011 |
| (0.1, 'Cox Vanilla') | 0.849 ± 0.015 | 0.967 ± 0.003 | 0.853 ± 0.008      | 0.849 ± 0.008 | 0.846 ± 0.009 | 0.807 ± 0.074 |
| (0.1, 'RSF')         | 0.924 ± 0.000 | 0.986 ± 0.000 | 0.924 ± 0.001      | 0.920 ± 0.001 | 0.923 ± 0.001 | 0.918 ± 0.001 |
| (0.3, 'Cox')         | 0.754 ± 0.006 | 0.961 ± 0.000 | 0.813 ± 0.002      | 0.807 ± 0.003 | 0.806 ± 0.003 | 0.804 ± 0.003 |
| (0.3, 'Cox Simple')  | 0.727 ± 0.008 | 0.959 ± 0.003 | 0.798 ± 0.011      | 0.794 ± 0.006 | 0.794 ± 0.012 | 0.793 ± 0.010 |
| (0.3, 'Cox Vanilla') | 0.798 ± 0.052 | 0.963 ± 0.004 | 0.822 ± 0.013      | 0.810 ± 0.019 | 0.750 ± 0.104 | 0.809 ± 0.016 |
| (0.3, 'RSF')         | 0.917 ± 0.002 | 0.987 ± 0.000 | 0.927 ± 0.001      | 0.923 ± 0.001 | 0.919 ± 0.002 | 0.907 ± 0.003 |
| (0.5, 'Cox')         | 0.729 ± 0.005 | 0.960 ± 0.001 | 0.794 ± 0.004      | 0.789 ± 0.004 | 0.785 ± 0.005 | 0.782 ± 0.005 |
| (0.5, 'Cox Simple')  | 0.684 ± 0.023 | 0.960 ± 0.002 | 0.790 ± 0.002      | 0.783 ± 0.004 | 0.770 ± 0.005 | 0.769 ± 0.005 |
| (0.5, 'Cox Vanilla') | 0.786 ± 0.066 | 0.962 ± 0.004 | 0.807 ± 0.015      | 0.767 ± 0.071 | 0.785 ± 0.018 | 0.771 ± 0.039 |
| (0.5, 'RSF')         | 0.897 ± 0.002 | 0.987 ± 0.000 | 0.928 ± 0.002      | 0.917 ± 0.001 | 0.904 ± 0.002 | 0.883 ± 0.003 |
| (0.7, 'Cox')         | 0.704 ± 0.005 | 0.957 ± 0.001 | 0.759 ± 0.006      | 0.748 ± 0.005 | 0.757 ± 0.006 | 0.753 ± 0.007 |
| (0.7, 'Cox Simple')  | 0.662 ± 0.013 | 0.955 ± 0.002 | 0.746 ± 0.014      | 0.732 ± 0.005 | 0.742 ± 0.013 | 0.730 ± 0.025 |
| (0.7, 'Cox Vanilla') | 0.717 ± 0.093 | 0.958 ± 0.004 | 0.756 ± 0.028      | 0.714 ± 0.050 | 0.720 ± 0.056 | 0.747 ± 0.032 |
| (0.7, 'RSF')         | 0.857 ± 0.003 | 0.987 ± 0.001 | 0.925 ± 0.004      | 0.921 ± 0.002 | 0.869 ± 0.003 | 0.836 ± 0.004 |
| (0.9, 'Cox')         | 0.646 ± 0.004 | 0.956 ± 0.001 | 0.692 ± 0.006      | 0.665 ± 0.003 | 0.696 ± 0.005 | 0.691 ± 0.008 |
| (0.9, 'Cox Simple')  | 0.613 ± 0.012 | 0.956 ± 0.001 | 0.674 ± 0.012      | 0.647 ± 0.007 | 0.685 ± 0.009 | 0.681 ± 0.014 |
| (0.9, 'Cox Vanilla') | 0.674 ± 0.012 | 0.956 ± 0.002 | 0.661 ± 0.023      | 0.639 ± 0.068 | 0.695 ± 0.010 | 0.689 ± 0.012 |
| (0.9, 'RSF')         | 0.757 ± 0.004 | 0.991 ± 0.001 | 0.905 ± 0.010      | 0.914 ± 0.008 | 0.784 ± 0.006 | 0.745 ± 0.008 |

=== NaN Ratio: 0.1 ===

-- Cox --
            constant | Train: 0.786 ± 0.003 | Test: 0.781 ± 0.010
          embeddings | Train: 0.963 ± 0.001 | Test: 0.762 ± 0.007
    imputer_bayesian | Train: 0.824 ± 0.002 | Test: 0.821 ± 0.008
                 knn | Train: 0.823 ± 0.002 | Test: 0.821 ± 0.008
                mean | Train: 0.821 ± 0.002 | Test: 0.819 ± 0.009
              median | Train: 0.820 ± 0.002 | Test: 0.818 ± 0.009

-- Cox Simple --
            constant | Train: 0.757 ± 0.022 | Test: 0.752 ± 0.027
          embeddings | Train: 0.962 ± 0.002 | Test: 0.678 ± 0.024
    imputer_bayesian | Train: 0.813 ± 0.014 | Test: 0.807 ± 0.014
                 knn | Train: 0.815 ± 0.010 | Test: 0.810 ± 0.012
                mean | Train: 0.813 ± 0.008 | Test: 0.807 ± 0.006
              median | Train: 0.810 ± 0.011 | Test: 0.805 ± 0.010

-- Cox Vanilla --
            constant | Train: 0.849 ± 0.015 | Test: 0.815 ± 0.006
          embeddings | Train: 0.967 ± 0.003 | Test: 0.719 ± 0.047
    imputer_bayesian | Train: 0.853 ± 0.008 | Test: 0.838 ± 0.006
                 knn | Train: 0.849 ± 0.008 | Test: 0.836 ± 0.006
                mean | Train: 0.846 ± 0.009 | Test: 0.829 ± 0.010
              median | Train: 0.807 ± 0.074 | Test: 0.791 ± 0.077

-- RSF --
            constant | Train: 0.924 ± 0.000 | Test: 0.839 ± 0.011
          embeddings | Train: 0.986 ± 0.000 | Test: 0.740 ± 0.018
    imputer_bayesian | Train: 0.924 ± 0.001 | Test: 0.846 ± 0.011
                 knn | Train: 0.920 ± 0.001 | Test: 0.845 ± 0.010
                mean | Train: 0.923 ± 0.001 | Test: 0.843 ± 0.010
              median | Train: 0.918 ± 0.001 | Test: 0.842 ± 0.011

=== NaN Ratio: 0.3 ===

-- Cox --
            constant | Train: 0.754 ± 0.006 | Test: 0.749 ± 0.013
          embeddings | Train: 0.961 ± 0.000 | Test: 0.752 ± 0.006
    imputer_bayesian | Train: 0.813 ± 0.002 | Test: 0.808 ± 0.010
                 knn | Train: 0.807 ± 0.003 | Test: 0.804 ± 0.013
                mean | Train: 0.806 ± 0.003 | Test: 0.801 ± 0.013
              median | Train: 0.804 ± 0.003 | Test: 0.799 ± 0.014

-- Cox Simple --
            constant | Train: 0.727 ± 0.008 | Test: 0.722 ± 0.016
          embeddings | Train: 0.959 ± 0.003 | Test: 0.640 ± 0.104
    imputer_bayesian | Train: 0.798 ± 0.011 | Test: 0.792 ± 0.012
                 knn | Train: 0.794 ± 0.006 | Test: 0.791 ± 0.012
                mean | Train: 0.794 ± 0.012 | Test: 0.790 ± 0.015
              median | Train: 0.793 ± 0.010 | Test: 0.790 ± 0.012

-- Cox Vanilla --
            constant | Train: 0.798 ± 0.052 | Test: 0.758 ± 0.042
          embeddings | Train: 0.963 ± 0.004 | Test: 0.687 ± 0.055
    imputer_bayesian | Train: 0.822 ± 0.013 | Test: 0.808 ± 0.004
                 knn | Train: 0.810 ± 0.019 | Test: 0.797 ± 0.013
                mean | Train: 0.750 ± 0.104 | Test: 0.738 ± 0.101
              median | Train: 0.809 ± 0.016 | Test: 0.793 ± 0.012

-- RSF --
            constant | Train: 0.917 ± 0.002 | Test: 0.817 ± 0.010
          embeddings | Train: 0.987 ± 0.000 | Test: 0.698 ± 0.012
    imputer_bayesian | Train: 0.927 ± 0.001 | Test: 0.834 ± 0.009
                 knn | Train: 0.923 ± 0.001 | Test: 0.827 ± 0.011
                mean | Train: 0.919 ± 0.002 | Test: 0.826 ± 0.010
              median | Train: 0.907 ± 0.003 | Test: 0.825 ± 0.011

=== NaN Ratio: 0.5 ===

-- Cox --
            constant | Train: 0.729 ± 0.005 | Test: 0.727 ± 0.010
          embeddings | Train: 0.960 ± 0.001 | Test: 0.711 ± 0.008
    imputer_bayesian | Train: 0.794 ± 0.004 | Test: 0.792 ± 0.010
                 knn | Train: 0.789 ± 0.004 | Test: 0.785 ± 0.010
                mean | Train: 0.785 ± 0.005 | Test: 0.780 ± 0.012
              median | Train: 0.782 ± 0.005 | Test: 0.777 ± 0.013

-- Cox Simple --
            constant | Train: 0.684 ± 0.023 | Test: 0.678 ± 0.021
          embeddings | Train: 0.960 ± 0.002 | Test: 0.570 ± 0.094
    imputer_bayesian | Train: 0.790 ± 0.002 | Test: 0.785 ± 0.012
                 knn | Train: 0.783 ± 0.004 | Test: 0.776 ± 0.010
                mean | Train: 0.770 ± 0.005 | Test: 0.763 ± 0.011
              median | Train: 0.769 ± 0.005 | Test: 0.761 ± 0.010

-- Cox Vanilla --
            constant | Train: 0.786 ± 0.066 | Test: 0.729 ± 0.044
          embeddings | Train: 0.962 ± 0.004 | Test: 0.690 ± 0.035
    imputer_bayesian | Train: 0.807 ± 0.015 | Test: 0.795 ± 0.008
                 knn | Train: 0.767 ± 0.071 | Test: 0.750 ± 0.067
                mean | Train: 0.785 ± 0.018 | Test: 0.768 ± 0.020
              median | Train: 0.771 ± 0.039 | Test: 0.756 ± 0.038

-- RSF --
            constant | Train: 0.897 ± 0.002 | Test: 0.788 ± 0.013
          embeddings | Train: 0.987 ± 0.000 | Test: 0.657 ± 0.017
    imputer_bayesian | Train: 0.928 ± 0.002 | Test: 0.816 ± 0.008
                 knn | Train: 0.917 ± 0.001 | Test: 0.809 ± 0.008
                mean | Train: 0.904 ± 0.002 | Test: 0.801 ± 0.009
              median | Train: 0.883 ± 0.003 | Test: 0.800 ± 0.010

=== NaN Ratio: 0.7 ===

-- Cox --
            constant | Train: 0.704 ± 0.005 | Test: 0.697 ± 0.010
          embeddings | Train: 0.957 ± 0.001 | Test: 0.683 ± 0.013
    imputer_bayesian | Train: 0.759 ± 0.006 | Test: 0.757 ± 0.014
                 knn | Train: 0.748 ± 0.005 | Test: 0.747 ± 0.016
                mean | Train: 0.757 ± 0.006 | Test: 0.754 ± 0.014
              median | Train: 0.753 ± 0.007 | Test: 0.750 ± 0.014

-- Cox Simple --
            constant | Train: 0.662 ± 0.013 | Test: 0.655 ± 0.015
          embeddings | Train: 0.955 ± 0.002 | Test: 0.648 ± 0.044
    imputer_bayesian | Train: 0.746 ± 0.014 | Test: 0.743 ± 0.021
                 knn | Train: 0.732 ± 0.005 | Test: 0.736 ± 0.018
                mean | Train: 0.742 ± 0.013 | Test: 0.745 ± 0.015
              median | Train: 0.730 ± 0.025 | Test: 0.730 ± 0.028

-- Cox Vanilla --
            constant | Train: 0.717 ± 0.093 | Test: 0.657 ± 0.066
          embeddings | Train: 0.958 ± 0.004 | Test: 0.564 ± 0.059
    imputer_bayesian | Train: 0.756 ± 0.028 | Test: 0.739 ± 0.031
                 knn | Train: 0.714 ± 0.050 | Test: 0.699 ± 0.044
                mean | Train: 0.720 ± 0.056 | Test: 0.705 ± 0.053
              median | Train: 0.747 ± 0.032 | Test: 0.726 ± 0.034

-- RSF --
            constant | Train: 0.857 ± 0.003 | Test: 0.745 ± 0.016
          embeddings | Train: 0.987 ± 0.001 | Test: 0.648 ± 0.009
    imputer_bayesian | Train: 0.925 ± 0.004 | Test: 0.778 ± 0.015
                 knn | Train: 0.921 ± 0.002 | Test: 0.762 ± 0.013
                mean | Train: 0.869 ± 0.003 | Test: 0.762 ± 0.013
              median | Train: 0.836 ± 0.004 | Test: 0.757 ± 0.011

=== NaN Ratio: 0.9 ===

-- Cox --
            constant | Train: 0.646 ± 0.004 | Test: 0.627 ± 0.010
          embeddings | Train: 0.956 ± 0.001 | Test: 0.557 ± 0.012
    imputer_bayesian | Train: 0.692 ± 0.006 | Test: 0.684 ± 0.011
                 knn | Train: 0.665 ± 0.003 | Test: 0.653 ± 0.003
                mean | Train: 0.696 ± 0.005 | Test: 0.689 ± 0.010
              median | Train: 0.691 ± 0.008 | Test: 0.682 ± 0.013

-- Cox Simple --
            constant | Train: 0.613 ± 0.012 | Test: 0.599 ± 0.013
          embeddings | Train: 0.956 ± 0.001 | Test: 0.474 ± 0.048
