# Aggregated over 2 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.783 ± 0.007 | 0.840 ± 0.005 | 0.822 ± 0.005    | 0.821 ± 0.007 | 0.819 ± 0.006 | 0.819 ± 0.005 |
| (0.1, 'Cox Simple')  | 0.756 ± 0.013 | 0.833 ± 0.011 | 0.809 ± 0.012    | 0.806 ± 0.016 | 0.797 ± 0.017 | 0.800 ± 0.015 |
| (0.1, 'Cox Vanilla') | 0.770 ± 0.070 | 0.661 ± 0.105 | 0.835 ± 0.007    | 0.832 ± 0.009 | 0.829 ± 0.008 | 0.795 ± 0.068 |
| (0.1, 'RSF')         | 0.827 ± 0.009 | 0.813 ± 0.011 | 0.834 ± 0.009    | 0.835 ± 0.007 | 0.833 ± 0.009 | 0.831 ± 0.009 |
| (0.3, 'Cox')         | 0.748 ± 0.009 | 0.823 ± 0.004 | 0.809 ± 0.005    | 0.806 ± 0.005 | 0.802 ± 0.005 | 0.802 ± 0.005 |
| (0.3, 'Cox Simple')  | 0.728 ± 0.010 | 0.821 ± 0.005 | 0.796 ± 0.010    | 0.796 ± 0.010 | 0.792 ± 0.011 | 0.790 ± 0.013 |
| (0.3, 'Cox Vanilla') | 0.783 ± 0.006 | 0.645 ± 0.134 | 0.779 ± 0.054    | 0.781 ± 0.052 | 0.809 ± 0.005 | 0.760 ± 0.064 |
| (0.3, 'RSF')         | 0.808 ± 0.011 | 0.780 ± 0.015 | 0.823 ± 0.009    | 0.814 ± 0.009 | 0.816 ± 0.011 | 0.813 ± 0.011 |
| (0.5, 'Cox')         | 0.722 ± 0.011 | 0.800 ± 0.009 | 0.793 ± 0.007    | 0.786 ± 0.006 | 0.780 ± 0.005 | 0.778 ± 0.005 |
| (0.5, 'Cox Simple')  | 0.688 ± 0.015 | 0.786 ± 0.025 | 0.782 ± 0.007    | 0.778 ± 0.009 | 0.764 ± 0.012 | 0.762 ± 0.009 |
| (0.5, 'Cox Vanilla') | 0.734 ± 0.018 | 0.601 ± 0.083 | 0.783 ± 0.034    | 0.772 ± 0.033 | 0.772 ± 0.013 | 0.774 ± 0.013 |
| (0.5, 'RSF')         | 0.782 ± 0.010 | 0.767 ± 0.011 | 0.808 ± 0.008    | 0.800 ± 0.008 | 0.790 ± 0.009 | 0.788 ± 0.009 |
| (0.7, 'Cox')         | 0.693 ± 0.009 | 0.770 ± 0.006 | 0.753 ± 0.005    | 0.739 ± 0.005 | 0.747 ± 0.007 | 0.746 ± 0.007 |
| (0.7, 'Cox Simple')  | 0.660 ± 0.018 | 0.760 ± 0.010 | 0.740 ± 0.012    | 0.722 ± 0.011 | 0.738 ± 0.007 | 0.736 ± 0.009 |
| (0.7, 'Cox Vanilla') | 0.665 ± 0.040 | 0.599 ± 0.102 | 0.734 ± 0.029    | 0.716 ± 0.036 | 0.734 ± 0.014 | 0.734 ± 0.017 |
| (0.7, 'RSF')         | 0.734 ± 0.010 | 0.732 ± 0.026 | 0.771 ± 0.009    | 0.746 ± 0.011 | 0.744 ± 0.010 | 0.742 ± 0.010 |
| (0.9, 'Cox')         | 0.631 ± 0.010 | 0.689 ± 0.010 | 0.685 ± 0.008    | 0.653 ± 0.010 | 0.687 ± 0.007 | 0.679 ± 0.005 |
| (0.9, 'Cox Simple')  | 0.602 ± 0.016 | 0.663 ± 0.025 | 0.663 ± 0.022    | 0.630 ± 0.015 | 0.673 ± 0.010 | 0.667 ± 0.007 |
| (0.9, 'Cox Vanilla') | 0.611 ± 0.018 | 0.545 ± 0.075 | 0.669 ± 0.011    | 0.613 ± 0.034 | 0.658 ± 0.029 | 0.634 ± 0.067 |
| (0.9, 'RSF')         | 0.645 ± 0.013 | 0.645 ± 0.029 | 0.675 ± 0.009    | 0.634 ± 0.005 | 0.655 ± 0.010 | 0.651 ± 0.009 |

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.786 ± 0.003 | 0.958 ± 0.001 | 0.824 ± 0.002    | 0.823 ± 0.001 | 0.821 ± 0.001 | 0.821 ± 0.001 |
| (0.1, 'Cox Simple')  | 0.765 ± 0.012 | 0.960 ± 0.001 | 0.815 ± 0.014    | 0.810 ± 0.015 | 0.797 ± 0.019 | 0.800 ± 0.017 |
| (0.1, 'Cox Vanilla') | 0.794 ± 0.080 | 0.962 ± 0.003 | 0.847 ± 0.013    | 0.845 ± 0.013 | 0.843 ± 0.013 | 0.806 ± 0.071 |
| (0.1, 'RSF')         | 0.875 ± 0.002 | 0.972 ± 0.000 | 0.879 ± 0.002    | 0.879 ± 0.002 | 0.877 ± 0.002 | 0.873 ± 0.002 |
| (0.3, 'Cox')         | 0.752 ± 0.003 | 0.956 ± 0.002 | 0.812 ± 0.002    | 0.805 ± 0.002 | 0.804 ± 0.002 | 0.802 ± 0.002 |
| (0.3, 'Cox Simple')  | 0.734 ± 0.008 | 0.958 ± 0.003 | 0.798 ± 0.009    | 0.796 ± 0.006 | 0.796 ± 0.005 | 0.792 ± 0.005 |
| (0.3, 'Cox Vanilla') | 0.834 ± 0.018 | 0.961 ± 0.002 | 0.794 ± 0.056    | 0.792 ± 0.055 | 0.823 ± 0.010 | 0.772 ± 0.068 |
| (0.3, 'RSF')         | 0.864 ± 0.002 | 0.972 ± 0.001 | 0.877 ± 0.002    | 0.869 ± 0.002 | 0.867 ± 0.002 | 0.859 ± 0.002 |
| (0.5, 'Cox')         | 0.729 ± 0.003 | 0.955 ± 0.001 | 0.792 ± 0.002    | 0.788 ± 0.002 | 0.782 ± 0.001 | 0.780 ± 0.002 |
| (0.5, 'Cox Simple')  | 0.698 ± 0.013 | 0.956 ± 0.002 | 0.784 ± 0.005    | 0.781 ± 0.005 | 0.769 ± 0.007 | 0.768 ± 0.005 |
| (0.5, 'Cox Vanilla') | 0.800 ± 0.052 | 0.960 ± 0.002 | 0.792 ± 0.036    | 0.784 ± 0.037 | 0.787 ± 0.010 | 0.786 ± 0.014 |
| (0.5, 'RSF')         | 0.844 ± 0.004 | 0.971 ± 0.001 | 0.871 ± 0.002    | 0.864 ± 0.002 | 0.849 ± 0.003 | 0.836 ± 0.002 |
| (0.7, 'Cox')         | 0.704 ± 0.003 | 0.954 ± 0.002 | 0.756 ± 0.003    | 0.747 ± 0.002 | 0.754 ± 0.002 | 0.753 ± 0.002 |
| (0.7, 'Cox Simple')  | 0.667 ± 0.011 | 0.956 ± 0.002 | 0.743 ± 0.009    | 0.728 ± 0.017 | 0.743 ± 0.005 | 0.742 ± 0.005 |
| (0.7, 'Cox Vanilla') | 0.725 ± 0.063 | 0.955 ± 0.003 | 0.746 ± 0.033    | 0.731 ± 0.041 | 0.746 ± 0.019 | 0.747 ± 0.019 |
| (0.7, 'RSF')         | 0.804 ± 0.003 | 0.971 ± 0.001 | 0.855 ± 0.004    | 0.844 ± 0.003 | 0.810 ± 0.004 | 0.794 ± 0.004 |
| (0.9, 'Cox')         | 0.645 ± 0.005 | 0.952 ± 0.001 | 0.690 ± 0.004    | 0.662 ± 0.005 | 0.693 ± 0.004 | 0.687 ± 0.003 |
| (0.9, 'Cox Simple')  | 0.610 ± 0.013 | 0.954 ± 0.001 | 0.669 ± 0.018    | 0.639 ± 0.013 | 0.678 ± 0.009 | 0.674 ± 0.004 |
| (0.9, 'Cox Vanilla') | 0.670 ± 0.028 | 0.954 ± 0.002 | 0.682 ± 0.013    | 0.639 ± 0.045 | 0.672 ± 0.030 | 0.643 ± 0.072 |
| (0.9, 'RSF')         | 0.723 ± 0.005 | 0.972 ± 0.001 | 0.801 ± 0.008    | 0.807 ± 0.005 | 0.740 ± 0.006 | 0.713 ± 0.003 |

=== NaN Ratio: 0.1 ===

-- Cox --
          constant | Train: 0.786 ± 0.003 | Test: 0.783 ± 0.007
        embeddings | Train: 0.958 ± 0.001 | Test: 0.840 ± 0.005
  imputer_bayesian | Train: 0.824 ± 0.002 | Test: 0.822 ± 0.005
               knn | Train: 0.823 ± 0.001 | Test: 0.821 ± 0.007
              mean | Train: 0.821 ± 0.001 | Test: 0.819 ± 0.006
            median | Train: 0.821 ± 0.001 | Test: 0.819 ± 0.005

-- Cox Simple --
          constant | Train: 0.765 ± 0.012 | Test: 0.756 ± 0.013
        embeddings | Train: 0.960 ± 0.001 | Test: 0.833 ± 0.011
  imputer_bayesian | Train: 0.815 ± 0.014 | Test: 0.809 ± 0.012
               knn | Train: 0.810 ± 0.015 | Test: 0.806 ± 0.016
              mean | Train: 0.797 ± 0.019 | Test: 0.797 ± 0.017
            median | Train: 0.800 ± 0.017 | Test: 0.800 ± 0.015

-- Cox Vanilla --
          constant | Train: 0.794 ± 0.080 | Test: 0.770 ± 0.070
        embeddings | Train: 0.962 ± 0.003 | Test: 0.661 ± 0.105
  imputer_bayesian | Train: 0.847 ± 0.013 | Test: 0.835 ± 0.007
               knn | Train: 0.845 ± 0.013 | Test: 0.832 ± 0.009
              mean | Train: 0.843 ± 0.013 | Test: 0.829 ± 0.008
            median | Train: 0.806 ± 0.071 | Test: 0.795 ± 0.068

-- RSF --
          constant | Train: 0.875 ± 0.002 | Test: 0.827 ± 0.009
        embeddings | Train: 0.972 ± 0.000 | Test: 0.813 ± 0.011
  imputer_bayesian | Train: 0.879 ± 0.002 | Test: 0.834 ± 0.009
               knn | Train: 0.879 ± 0.002 | Test: 0.835 ± 0.007
              mean | Train: 0.877 ± 0.002 | Test: 0.833 ± 0.009
            median | Train: 0.873 ± 0.002 | Test: 0.831 ± 0.009

=== NaN Ratio: 0.3 ===

-- Cox --
          constant | Train: 0.752 ± 0.003 | Test: 0.748 ± 0.009
        embeddings | Train: 0.956 ± 0.002 | Test: 0.823 ± 0.004
  imputer_bayesian | Train: 0.812 ± 0.002 | Test: 0.809 ± 0.005
               knn | Train: 0.805 ± 0.002 | Test: 0.806 ± 0.005
              mean | Train: 0.804 ± 0.002 | Test: 0.802 ± 0.005
            median | Train: 0.802 ± 0.002 | Test: 0.802 ± 0.005

-- Cox Simple --
          constant | Train: 0.734 ± 0.008 | Test: 0.728 ± 0.010
        embeddings | Train: 0.958 ± 0.003 | Test: 0.821 ± 0.005
  imputer_bayesian | Train: 0.798 ± 0.009 | Test: 0.796 ± 0.010
               knn | Train: 0.796 ± 0.006 | Test: 0.796 ± 0.010
              mean | Train: 0.796 ± 0.005 | Test: 0.792 ± 0.011
            median | Train: 0.792 ± 0.005 | Test: 0.790 ± 0.013

-- Cox Vanilla --
          constant | Train: 0.834 ± 0.018 | Test: 0.783 ± 0.006
        embeddings | Train: 0.961 ± 0.002 | Test: 0.645 ± 0.134
  imputer_bayesian | Train: 0.794 ± 0.056 | Test: 0.779 ± 0.054
               knn | Train: 0.792 ± 0.055 | Test: 0.781 ± 0.052
              mean | Train: 0.823 ± 0.010 | Test: 0.809 ± 0.005
            median | Train: 0.772 ± 0.068 | Test: 0.760 ± 0.064

-- RSF --
          constant | Train: 0.864 ± 0.002 | Test: 0.808 ± 0.011
        embeddings | Train: 0.972 ± 0.001 | Test: 0.780 ± 0.015
  imputer_bayesian | Train: 0.877 ± 0.002 | Test: 0.823 ± 0.009
               knn | Train: 0.869 ± 0.002 | Test: 0.814 ± 0.009
              mean | Train: 0.867 ± 0.002 | Test: 0.816 ± 0.011
            median | Train: 0.859 ± 0.002 | Test: 0.813 ± 0.011

=== NaN Ratio: 0.5 ===

-- Cox --
          constant | Train: 0.729 ± 0.003 | Test: 0.722 ± 0.011
        embeddings | Train: 0.955 ± 0.001 | Test: 0.800 ± 0.009
  imputer_bayesian | Train: 0.792 ± 0.002 | Test: 0.793 ± 0.007
               knn | Train: 0.788 ± 0.002 | Test: 0.786 ± 0.006
              mean | Train: 0.782 ± 0.001 | Test: 0.780 ± 0.005
            median | Train: 0.780 ± 0.002 | Test: 0.778 ± 0.005

-- Cox Simple --
          constant | Train: 0.698 ± 0.013 | Test: 0.688 ± 0.015
        embeddings | Train: 0.956 ± 0.002 | Test: 0.786 ± 0.025
  imputer_bayesian | Train: 0.784 ± 0.005 | Test: 0.782 ± 0.007
               knn | Train: 0.781 ± 0.005 | Test: 0.778 ± 0.009
              mean | Train: 0.769 ± 0.007 | Test: 0.764 ± 0.012
            median | Train: 0.768 ± 0.005 | Test: 0.762 ± 0.009

-- Cox Vanilla --
          constant | Train: 0.800 ± 0.052 | Test: 0.734 ± 0.018
        embeddings | Train: 0.960 ± 0.002 | Test: 0.601 ± 0.083
  imputer_bayesian | Train: 0.792 ± 0.036 | Test: 0.783 ± 0.034
               knn | Train: 0.784 ± 0.037 | Test: 0.772 ± 0.033
              mean | Train: 0.787 ± 0.010 | Test: 0.772 ± 0.013
            median | Train: 0.786 ± 0.014 | Test: 0.774 ± 0.013

-- RSF --
          constant | Train: 0.844 ± 0.004 | Test: 0.782 ± 0.010
        embeddings | Train: 0.971 ± 0.001 | Test: 0.767 ± 0.011
  imputer_bayesian | Train: 0.871 ± 0.002 | Test: 0.808 ± 0.008
               knn | Train: 0.864 ± 0.002 | Test: 0.800 ± 0.008
              mean | Train: 0.849 ± 0.003 | Test: 0.790 ± 0.009
            median | Train: 0.836 ± 0.002 | Test: 0.788 ± 0.009

=== NaN Ratio: 0.7 ===

-- Cox --
          constant | Train: 0.704 ± 0.003 | Test: 0.693 ± 0.009
        embeddings | Train: 0.954 ± 0.002 | Test: 0.770 ± 0.006
  imputer_bayesian | Train: 0.756 ± 0.003 | Test: 0.753 ± 0.005
               knn | Train: 0.747 ± 0.002 | Test: 0.739 ± 0.005
              mean | Train: 0.754 ± 0.002 | Test: 0.747 ± 0.007
            median | Train: 0.753 ± 0.002 | Test: 0.746 ± 0.007

-- Cox Simple --
          constant | Train: 0.667 ± 0.011 | Test: 0.660 ± 0.018
        embeddings | Train: 0.956 ± 0.002 | Test: 0.760 ± 0.010
  imputer_bayesian | Train: 0.743 ± 0.009 | Test: 0.740 ± 0.012
               knn | Train: 0.728 ± 0.017 | Test: 0.722 ± 0.011
              mean | Train: 0.743 ± 0.005 | Test: 0.738 ± 0.007
            median | Train: 0.742 ± 0.005 | Test: 0.736 ± 0.009

-- Cox Vanilla --
          constant | Train: 0.725 ± 0.063 | Test: 0.665 ± 0.040
        embeddings | Train: 0.955 ± 0.003 | Test: 0.599 ± 0.102
  imputer_bayesian | Train: 0.746 ± 0.033 | Test: 0.734 ± 0.029
               knn | Train: 0.731 ± 0.041 | Test: 0.716 ± 0.036
              mean | Train: 0.746 ± 0.019 | Test: 0.734 ± 0.014
            median | Train: 0.747 ± 0.019 | Test: 0.734 ± 0.017

-- RSF --
          constant | Train: 0.804 ± 0.003 | Test: 0.734 ± 0.010
        embeddings | Train: 0.971 ± 0.001 | Test: 0.732 ± 0.026
  imputer_bayesian | Train: 0.855 ± 0.004 | Test: 0.771 ± 0.009
               knn | Train: 0.844 ± 0.003 | Test: 0.746 ± 0.011
              mean | Train: 0.810 ± 0.004 | Test: 0.744 ± 0.010
            median | Train: 0.794 ± 0.004 | Test: 0.742 ± 0.010

=== NaN Ratio: 0.9 ===

-- Cox --
          constant | Train: 0.645 ± 0.005 | Test: 0.631 ± 0.010
        embeddings | Train: 0.952 ± 0.001 | Test: 0.689 ± 0.010
  imputer_bayesian | Train: 0.690 ± 0.004 | Test: 0.685 ± 0.008
               knn | Train: 0.662 ± 0.005 | Test: 0.653 ± 0.010
              mean | Train: 0.693 ± 0.004 | Test: 0.687 ± 0.007
            median | Train: 0.687 ± 0.003 | Test: 0.679 ± 0.005

-- Cox Simple --
          constant | Train: 0.610 ± 0.013 | Test: 0.602 ± 0.016
        embeddings | Train: 0.954 ± 0.001 | Test: 0.663 ± 0.025
  imputer_bayesian | Train: 0.669 ± 0.018 | Test: 0.663 ± 0.022
