|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.784 ± 0.011 | 0.837 ± 0.007 | 0.823 ± 0.010      | 0.821 ± 0.011 | 0.819 ± 0.011 | 0.819 ± 0.011 |
| (0.1, 'Cox Simple')  | 0.758 ± 0.015 | 0.836 ± 0.009 | 0.813 ± 0.019      | 0.811 ± 0.018 | 0.809 ± 0.017 | 0.809 ± 0.017 |
| (0.1, 'Cox Vanilla') | 0.816 ± 0.011 | 0.721 ± 0.074 | 0.836 ± 0.013      | 0.834 ± 0.014 | 0.829 ± 0.013 | 0.808 ± 0.033 |
| (0.1, 'RSF')         | 0.838 ± 0.005 | 0.814 ± 0.012 | 0.846 ± 0.005      | 0.846 ± 0.005 | 0.842 ± 0.006 | 0.843 ± 0.005 |
| (0.3, 'Cox')         | 0.748 ± 0.010 | 0.819 ± 0.005 | 0.809 ± 0.010      | 0.803 ± 0.011 | 0.801 ± 0.010 | 0.800 ± 0.011 |
| (0.3, 'Cox Simple')  | 0.713 ± 0.016 | 0.816 ± 0.012 | 0.798 ± 0.009      | 0.796 ± 0.009 | 0.790 ± 0.008 | 0.788 ± 0.009 |
| (0.3, 'Cox Vanilla') | 0.750 ± 0.044 | 0.723 ± 0.103 | 0.809 ± 0.016      | 0.795 ± 0.019 | 0.792 ± 0.019 | 0.789 ± 0.014 |
| (0.3, 'RSF')         | 0.816 ± 0.007 | 0.776 ± 0.020 | 0.833 ± 0.006      | 0.825 ± 0.007 | 0.827 ± 0.007 | 0.825 ± 0.007 |
| (0.5, 'Cox')         | 0.726 ± 0.011 | 0.792 ± 0.005 | 0.793 ± 0.008      | 0.789 ± 0.011 | 0.780 ± 0.009 | 0.776 ± 0.011 |
| (0.5, 'Cox Simple')  | 0.697 ± 0.016 | 0.778 ± 0.029 | 0.787 ± 0.013      | 0.777 ± 0.025 | 0.768 ± 0.012 | 0.761 ± 0.017 |
| (0.5, 'Cox Vanilla') | 0.720 ± 0.046 | 0.608 ± 0.145 | 0.794 ± 0.013      | 0.708 ± 0.107 | 0.729 ± 0.050 | 0.773 ± 0.018 |
| (0.5, 'RSF')         | 0.789 ± 0.008 | 0.753 ± 0.021 | 0.819 ± 0.007      | 0.814 ± 0.006 | 0.803 ± 0.006 | 0.801 ± 0.007 |
| (0.7, 'Cox')         | 0.696 ± 0.009 | 0.757 ± 0.016 | 0.756 ± 0.010      | 0.749 ± 0.012 | 0.751 ± 0.010 | 0.746 ± 0.010 |
| (0.7, 'Cox Simple')  | 0.649 ± 0.005 | 0.755 ± 0.017 | 0.733 ± 0.025      | 0.730 ± 0.027 | 0.735 ± 0.019 | 0.733 ± 0.016 |
| (0.7, 'Cox Vanilla') | 0.706 ± 0.008 | 0.599 ± 0.064 | 0.750 ± 0.023      | 0.749 ± 0.012 | 0.752 ± 0.008 | 0.736 ± 0.034 |
| (0.7, 'RSF')         | 0.746 ± 0.013 | 0.743 ± 0.012 | 0.780 ± 0.008      | 0.765 ± 0.009 | 0.765 ± 0.006 | 0.760 ± 0.003 |
| (0.9, 'Cox')         | 0.631 ± 0.007 | 0.674 ± 0.009 | 0.690 ± 0.010      | 0.647 ± 0.007 | 0.694 ± 0.007 | 0.686 ± 0.009 |
| (0.9, 'Cox Simple')  | 0.601 ± 0.005 | 0.632 ± 0.059 | 0.675 ± 0.013      | 0.624 ± 0.011 | 0.680 ± 0.011 | 0.667 ± 0.015 |
| (0.9, 'Cox Vanilla') | 0.608 ± 0.015 | 0.506 ± 0.075 | 0.677 ± 0.013      | 0.634 ± 0.013 | 0.677 ± 0.013 | 0.678 ± 0.011 |
| (0.9, 'RSF')         | 0.659 ± 0.013 | 0.659 ± 0.021 | 0.688 ± 0.006      | 0.648 ± 0.006 | 0.678 ± 0.007 | 0.674 ± 0.008 |
|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.787 ± 0.003 | 0.957 ± 0.001 | 0.824 ± 0.002      | 0.823 ± 0.002 | 0.821 ± 0.001 | 0.821 ± 0.002 |
| (0.1, 'Cox Simple')  | 0.764 ± 0.007 | 0.961 ± 0.002 | 0.813 ± 0.015      | 0.811 ± 0.014 | 0.812 ± 0.012 | 0.810 ± 0.013 |
| (0.1, 'Cox Vanilla') | 0.841 ± 0.012 | 0.964 ± 0.002 | 0.846 ± 0.009      | 0.846 ± 0.010 | 0.842 ± 0.012 | 0.823 ± 0.038 |
| (0.1, 'RSF')         | 0.924 ± 0.001 | 0.982 ± 0.000 | 0.924 ± 0.001      | 0.921 ± 0.001 | 0.924 ± 0.001 | 0.918 ± 0.001 |
| (0.3, 'Cox')         | 0.753 ± 0.001 | 0.956 ± 0.002 | 0.811 ± 0.003      | 0.806 ± 0.001 | 0.805 ± 0.001 | 0.804 ± 0.002 |
| (0.3, 'Cox Simple')  | 0.724 ± 0.013 | 0.958 ± 0.003 | 0.801 ± 0.007      | 0.799 ± 0.004 | 0.794 ± 0.002 | 0.792 ± 0.002 |
| (0.3, 'Cox Vanilla') | 0.773 ± 0.052 | 0.960 ± 0.003 | 0.817 ± 0.012      | 0.803 ± 0.015 | 0.802 ± 0.018 | 0.801 ± 0.018 |
| (0.3, 'RSF')         | 0.917 ± 0.001 | 0.982 ± 0.001 | 0.927 ± 0.002      | 0.923 ± 0.001 | 0.919 ± 0.001 | 0.906 ± 0.002 |
| (0.5, 'Cox')         | 0.729 ± 0.002 | 0.955 ± 0.000 | 0.793 ± 0.004      | 0.788 ± 0.002 | 0.785 ± 0.002 | 0.784 ± 0.003 |
| (0.5, 'Cox Simple')  | 0.699 ± 0.016 | 0.959 ± 0.001 | 0.788 ± 0.006      | 0.774 ± 0.023 | 0.772 ± 0.003 | 0.767 ± 0.010 |
| (0.5, 'Cox Vanilla') | 0.774 ± 0.063 | 0.960 ± 0.003 | 0.806 ± 0.011      | 0.718 ± 0.113 | 0.746 ± 0.054 | 0.791 ± 0.018 |
| (0.5, 'RSF')         | 0.896 ± 0.003 | 0.982 ± 0.001 | 0.928 ± 0.001      | 0.916 ± 0.001 | 0.905 ± 0.001 | 0.883 ± 0.002 |
| (0.7, 'Cox')         | 0.705 ± 0.003 | 0.953 ± 0.001 | 0.762 ± 0.003      | 0.752 ± 0.002 | 0.759 ± 0.002 | 0.756 ± 0.002 |
| (0.7, 'Cox Simple')  | 0.659 ± 0.005 | 0.955 ± 0.001 | 0.734 ± 0.029      | 0.730 ± 0.026 | 0.738 ± 0.016 | 0.739 ± 0.011 |
| (0.7, 'Cox Vanilla') | 0.807 ± 0.034 | 0.958 ± 0.003 | 0.773 ± 0.024      | 0.774 ± 0.009 | 0.773 ± 0.012 | 0.760 ± 0.034 |
| (0.7, 'RSF')         | 0.853 ± 0.004 | 0.982 ± 0.001 | 0.927 ± 0.004      | 0.921 ± 0.001 | 0.869 ± 0.002 | 0.839 ± 0.002 |
| (0.9, 'Cox')         | 0.647 ± 0.005 | 0.952 ± 0.001 | 0.694 ± 0.006      | 0.663 ± 0.009 | 0.698 ± 0.006 | 0.693 ± 0.005 |
| (0.9, 'Cox Simple')  | 0.614 ± 0.007 | 0.953 ± 0.002 | 0.679 ± 0.012      | 0.635 ± 0.009 | 0.685 ± 0.008 | 0.677 ± 0.007 |
| (0.9, 'Cox Vanilla') | 0.681 ± 0.030 | 0.953 ± 0.002 | 0.689 ± 0.006      | 0.676 ± 0.013 | 0.691 ± 0.014 | 0.691 ± 0.008 |
| (0.9, 'RSF')         | 0.757 ± 0.004 | 0.983 ± 0.001 | 0.903 ± 0.011      | 0.916 ± 0.002 | 0.782 ± 0.006 | 0.745 ± 0.004 |

=== NaN Ratio: 0.1 ===

-- Cox --
            constant | Train: 0.787 ± 0.003 | Test: 0.784 ± 0.011
          embeddings | Train: 0.957 ± 0.001 | Test: 0.837 ± 0.007
    imputer_bayesian | Train: 0.824 ± 0.002 | Test: 0.823 ± 0.010
                 knn | Train: 0.823 ± 0.002 | Test: 0.821 ± 0.011
                mean | Train: 0.821 ± 0.001 | Test: 0.819 ± 0.011
              median | Train: 0.821 ± 0.002 | Test: 0.819 ± 0.011

-- Cox Simple --
            constant | Train: 0.764 ± 0.007 | Test: 0.758 ± 0.015
          embeddings | Train: 0.961 ± 0.002 | Test: 0.836 ± 0.009
    imputer_bayesian | Train: 0.813 ± 0.015 | Test: 0.813 ± 0.019
                 knn | Train: 0.811 ± 0.014 | Test: 0.811 ± 0.018
                mean | Train: 0.812 ± 0.012 | Test: 0.809 ± 0.017
              median | Train: 0.810 ± 0.013 | Test: 0.809 ± 0.017

-- Cox Vanilla --
            constant | Train: 0.841 ± 0.012 | Test: 0.816 ± 0.011
          embeddings | Train: 0.964 ± 0.002 | Test: 0.721 ± 0.074
    imputer_bayesian | Train: 0.846 ± 0.009 | Test: 0.836 ± 0.013
                 knn | Train: 0.846 ± 0.010 | Test: 0.834 ± 0.014
                mean | Train: 0.842 ± 0.012 | Test: 0.829 ± 0.013
              median | Train: 0.823 ± 0.038 | Test: 0.808 ± 0.033

-- RSF --
            constant | Train: 0.924 ± 0.001 | Test: 0.838 ± 0.005
          embeddings | Train: 0.982 ± 0.000 | Test: 0.814 ± 0.012
    imputer_bayesian | Train: 0.924 ± 0.001 | Test: 0.846 ± 0.005
                 knn | Train: 0.921 ± 0.001 | Test: 0.846 ± 0.005
                mean | Train: 0.924 ± 0.001 | Test: 0.842 ± 0.006
              median | Train: 0.918 ± 0.001 | Test: 0.843 ± 0.005

=== NaN Ratio: 0.3 ===

-- Cox --
            constant | Train: 0.753 ± 0.001 | Test: 0.748 ± 0.010
          embeddings | Train: 0.956 ± 0.002 | Test: 0.819 ± 0.005
    imputer_bayesian | Train: 0.811 ± 0.003 | Test: 0.809 ± 0.010
                 knn | Train: 0.806 ± 0.001 | Test: 0.803 ± 0.011
                mean | Train: 0.805 ± 0.001 | Test: 0.801 ± 0.010
              median | Train: 0.804 ± 0.002 | Test: 0.800 ± 0.011

-- Cox Simple --
            constant | Train: 0.724 ± 0.013 | Test: 0.713 ± 0.016
          embeddings | Train: 0.958 ± 0.003 | Test: 0.816 ± 0.012
    imputer_bayesian | Train: 0.801 ± 0.007 | Test: 0.798 ± 0.009
                 knn | Train: 0.799 ± 0.004 | Test: 0.796 ± 0.009
                mean | Train: 0.794 ± 0.002 | Test: 0.790 ± 0.008
              median | Train: 0.792 ± 0.002 | Test: 0.788 ± 0.009

-- Cox Vanilla --
            constant | Train: 0.773 ± 0.052 | Test: 0.750 ± 0.044
          embeddings | Train: 0.960 ± 0.003 | Test: 0.723 ± 0.103
    imputer_bayesian | Train: 0.817 ± 0.012 | Test: 0.809 ± 0.016
                 knn | Train: 0.803 ± 0.015 | Test: 0.795 ± 0.019
                mean | Train: 0.802 ± 0.018 | Test: 0.792 ± 0.019
              median | Train: 0.801 ± 0.018 | Test: 0.789 ± 0.014

-- RSF --
            constant | Train: 0.917 ± 0.001 | Test: 0.816 ± 0.007
          embeddings | Train: 0.982 ± 0.001 | Test: 0.776 ± 0.020
    imputer_bayesian | Train: 0.927 ± 0.002 | Test: 0.833 ± 0.006
                 knn | Train: 0.923 ± 0.001 | Test: 0.825 ± 0.007
                mean | Train: 0.919 ± 0.001 | Test: 0.827 ± 0.007
              median | Train: 0.906 ± 0.002 | Test: 0.825 ± 0.007

=== NaN Ratio: 0.5 ===

-- Cox --
            constant | Train: 0.729 ± 0.002 | Test: 0.726 ± 0.011
          embeddings | Train: 0.955 ± 0.000 | Test: 0.792 ± 0.005
    imputer_bayesian | Train: 0.793 ± 0.004 | Test: 0.793 ± 0.008
                 knn | Train: 0.788 ± 0.002 | Test: 0.789 ± 0.011
                mean | Train: 0.785 ± 0.002 | Test: 0.780 ± 0.009
              median | Train: 0.784 ± 0.003 | Test: 0.776 ± 0.011

-- Cox Simple --
            constant | Train: 0.699 ± 0.016 | Test: 0.697 ± 0.016
          embeddings | Train: 0.959 ± 0.001 | Test: 0.778 ± 0.029
    imputer_bayesian | Train: 0.788 ± 0.006 | Test: 0.787 ± 0.013
                 knn | Train: 0.774 ± 0.023 | Test: 0.777 ± 0.025
                mean | Train: 0.772 ± 0.003 | Test: 0.768 ± 0.012
              median | Train: 0.767 ± 0.010 | Test: 0.761 ± 0.017

-- Cox Vanilla --
            constant | Train: 0.774 ± 0.063 | Test: 0.720 ± 0.046
          embeddings | Train: 0.960 ± 0.003 | Test: 0.608 ± 0.145
    imputer_bayesian | Train: 0.806 ± 0.011 | Test: 0.794 ± 0.013
                 knn | Train: 0.718 ± 0.113 | Test: 0.708 ± 0.107
                mean | Train: 0.746 ± 0.054 | Test: 0.729 ± 0.050
              median | Train: 0.791 ± 0.018 | Test: 0.773 ± 0.018

-- RSF --
            constant | Train: 0.896 ± 0.003 | Test: 0.789 ± 0.008
          embeddings | Train: 0.982 ± 0.001 | Test: 0.753 ± 0.021
    imputer_bayesian | Train: 0.928 ± 0.001 | Test: 0.819 ± 0.007
                 knn | Train: 0.916 ± 0.001 | Test: 0.814 ± 0.006
                mean | Train: 0.905 ± 0.001 | Test: 0.803 ± 0.006
              median | Train: 0.883 ± 0.002 | Test: 0.801 ± 0.007

=== NaN Ratio: 0.7 ===

-- Cox --
            constant | Train: 0.705 ± 0.003 | Test: 0.696 ± 0.009
          embeddings | Train: 0.953 ± 0.001 | Test: 0.757 ± 0.016
    imputer_bayesian | Train: 0.762 ± 0.003 | Test: 0.756 ± 0.010
                 knn | Train: 0.752 ± 0.002 | Test: 0.749 ± 0.012
                mean | Train: 0.759 ± 0.002 | Test: 0.751 ± 0.010
              median | Train: 0.756 ± 0.002 | Test: 0.746 ± 0.010

-- Cox Simple --
            constant | Train: 0.659 ± 0.005 | Test: 0.649 ± 0.005
          embeddings | Train: 0.955 ± 0.001 | Test: 0.755 ± 0.017
    imputer_bayesian | Train: 0.734 ± 0.029 | Test: 0.733 ± 0.025
                 knn | Train: 0.730 ± 0.026 | Test: 0.730 ± 0.027
                mean | Train: 0.738 ± 0.016 | Test: 0.735 ± 0.019
              median | Train: 0.739 ± 0.011 | Test: 0.733 ± 0.016

-- Cox Vanilla --
            constant | Train: 0.807 ± 0.034 | Test: 0.706 ± 0.008
          embeddings | Train: 0.958 ± 0.003 | Test: 0.599 ± 0.064
    imputer_bayesian | Train: 0.773 ± 0.024 | Test: 0.750 ± 0.023
                 knn | Train: 0.774 ± 0.009 | Test: 0.749 ± 0.012
                mean | Train: 0.773 ± 0.012 | Test: 0.752 ± 0.008
              median | Train: 0.760 ± 0.034 | Test: 0.736 ± 0.034

-- RSF --
            constant | Train: 0.853 ± 0.004 | Test: 0.746 ± 0.013
          embeddings | Train: 0.982 ± 0.001 | Test: 0.743 ± 0.012
    imputer_bayesian | Train: 0.927 ± 0.004 | Test: 0.780 ± 0.008
                 knn | Train: 0.921 ± 0.001 | Test: 0.765 ± 0.009
                mean | Train: 0.869 ± 0.002 | Test: 0.765 ± 0.006
              median | Train: 0.839 ± 0.002 | Test: 0.760 ± 0.003

=== NaN Ratio: 0.9 ===

-- Cox --
            constant | Train: 0.647 ± 0.005 | Test: 0.631 ± 0.007
          embeddings | Train: 0.952 ± 0.001 | Test: 0.674 ± 0.009
    imputer_bayesian | Train: 0.694 ± 0.006 | Test: 0.690 ± 0.010
                 knn | Train: 0.663 ± 0.009 | Test: 0.647 ± 0.007
                mean | Train: 0.698 ± 0.006 | Test: 0.694 ± 0.007
              median | Train: 0.693 ± 0.005 | Test: 0.686 ± 0.009

-- Cox Simple --
            constant | Train: 0.614 ± 0.007 | Test: 0.601 ± 0.005
          embeddings | Train: 0.953 ± 0.002 | Test: 0.632 ± 0.059
