# Aggregated over 2 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.732 ± 0.011 | 0.720 ± 0.009 | 0.788 ± 0.009    | 0.786 ± 0.009 | 0.786 ± 0.009 | 0.784 ± 0.007 |
| (0.1, 'Cox Simple')  | 0.692 ± 0.014 | 0.659 ± 0.036 | 0.740 ± 0.015    | 0.745 ± 0.018 | 0.732 ± 0.019 | 0.746 ± 0.024 |
| (0.1, 'Cox Vanilla') | 0.752 ± 0.009 | 0.680 ± 0.036 | 0.781 ± 0.011    | 0.778 ± 0.012 | 0.780 ± 0.013 | 0.778 ± 0.010 |
| (0.1, 'RSF')         | 0.789 ± 0.011 | 0.719 ± 0.013 | 0.792 ± 0.009    | 0.790 ± 0.009 | 0.790 ± 0.009 | 0.790 ± 0.009 |
| (0.3, 'Cox')         | 0.671 ± 0.008 | 0.692 ± 0.011 | 0.772 ± 0.008    | 0.764 ± 0.009 | 0.767 ± 0.008 | 0.764 ± 0.007 |
| (0.3, 'Cox Simple')  | 0.629 ± 0.025 | 0.620 ± 0.052 | 0.700 ± 0.026    | 0.714 ± 0.018 | 0.720 ± 0.028 | 0.742 ± 0.009 |
| (0.3, 'Cox Vanilla') | 0.702 ± 0.011 | 0.643 ± 0.054 | 0.765 ± 0.009    | 0.750 ± 0.011 | 0.759 ± 0.010 | 0.757 ± 0.008 |
| (0.3, 'RSF')         | 0.767 ± 0.012 | 0.702 ± 0.017 | 0.776 ± 0.010    | 0.770 ± 0.012 | 0.772 ± 0.011 | 0.772 ± 0.009 |
| (0.5, 'Cox')         | 0.629 ± 0.014 | 0.657 ± 0.019 | 0.754 ± 0.010    | 0.744 ± 0.009 | 0.748 ± 0.007 | 0.744 ± 0.007 |
| (0.5, 'Cox Simple')  | 0.591 ± 0.021 | 0.556 ± 0.066 | 0.639 ± 0.030    | 0.677 ± 0.023 | 0.681 ± 0.042 | 0.722 ± 0.011 |
| (0.5, 'Cox Vanilla') | 0.645 ± 0.014 | 0.575 ± 0.053 | 0.744 ± 0.009    | 0.730 ± 0.009 | 0.742 ± 0.009 | 0.736 ± 0.010 |
| (0.5, 'RSF')         | 0.742 ± 0.010 | 0.675 ± 0.013 | 0.756 ± 0.010    | 0.749 ± 0.010 | 0.750 ± 0.007 | 0.752 ± 0.008 |
| (0.7, 'Cox')         | 0.581 ± 0.018 | 0.625 ± 0.019 | 0.710 ± 0.011    | 0.690 ± 0.013 | 0.711 ± 0.008 | 0.704 ± 0.007 |
| (0.7, 'Cox Simple')  | 0.556 ± 0.017 | 0.548 ± 0.056 | 0.595 ± 0.023    | 0.625 ± 0.024 | 0.667 ± 0.036 | 0.685 ± 0.013 |
| (0.7, 'Cox Vanilla') | 0.585 ± 0.019 | 0.605 ± 0.036 | 0.697 ± 0.010    | 0.669 ± 0.016 | 0.706 ± 0.010 | 0.696 ± 0.013 |
| (0.7, 'RSF')         | 0.694 ± 0.014 | 0.631 ± 0.019 | 0.710 ± 0.014    | 0.704 ± 0.013 | 0.709 ± 0.013 | 0.708 ± 0.012 |
| (0.9, 'Cox')         | 0.524 ± 0.017 | 0.532 ± 0.011 | 0.617 ± 0.002    | 0.593 ± 0.004 | 0.630 ± 0.004 | 0.617 ± 0.010 |
| (0.9, 'Cox Simple')  | 0.518 ± 0.012 | 0.510 ± 0.014 | 0.597 ± 0.034    | 0.534 ± 0.015 | 0.601 ± 0.025 | 0.617 ± 0.018 |
| (0.9, 'Cox Vanilla') | 0.540 ± 0.015 | 0.539 ± 0.028 | 0.623 ± 0.014    | 0.567 ± 0.017 | 0.622 ± 0.016 | 0.623 ± 0.015 |
| (0.9, 'RSF')         | 0.611 ± 0.017 | 0.547 ± 0.015 | 0.619 ± 0.012    | 0.597 ± 0.012 | 0.628 ± 0.014 | 0.628 ± 0.014 |

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.741 ± 0.005 | 0.925 ± 0.001 | 0.795 ± 0.002    | 0.792 ± 0.003 | 0.793 ± 0.003 | 0.792 ± 0.003 |
| (0.1, 'Cox Simple')  | 0.698 ± 0.017 | 0.923 ± 0.004 | 0.742 ± 0.019    | 0.748 ± 0.016 | 0.730 ± 0.021 | 0.751 ± 0.020 |
| (0.1, 'Cox Vanilla') | 0.786 ± 0.013 | 0.926 ± 0.003 | 0.797 ± 0.004    | 0.792 ± 0.005 | 0.792 ± 0.005 | 0.792 ± 0.005 |
| (0.1, 'RSF')         | 0.909 ± 0.002 | 0.966 ± 0.001 | 0.903 ± 0.002    | 0.905 ± 0.002 | 0.902 ± 0.002 | 0.895 ± 0.002 |
| (0.3, 'Cox')         | 0.688 ± 0.005 | 0.922 ± 0.001 | 0.778 ± 0.003    | 0.772 ± 0.004 | 0.776 ± 0.004 | 0.774 ± 0.004 |
| (0.3, 'Cox Simple')  | 0.643 ± 0.028 | 0.921 ± 0.003 | 0.710 ± 0.022    | 0.721 ± 0.013 | 0.725 ± 0.028 | 0.746 ± 0.009 |
| (0.3, 'Cox Vanilla') | 0.789 ± 0.024 | 0.924 ± 0.005 | 0.784 ± 0.007    | 0.775 ± 0.007 | 0.780 ± 0.007 | 0.776 ± 0.004 |
| (0.3, 'RSF')         | 0.905 ± 0.004 | 0.968 ± 0.002 | 0.909 ± 0.003    | 0.902 ± 0.002 | 0.891 ± 0.003 | 0.875 ± 0.003 |
| (0.5, 'Cox')         | 0.647 ± 0.003 | 0.919 ± 0.002 | 0.758 ± 0.006    | 0.750 ± 0.007 | 0.756 ± 0.007 | 0.752 ± 0.007 |
| (0.5, 'Cox Simple')  | 0.600 ± 0.013 | 0.915 ± 0.006 | 0.647 ± 0.034    | 0.680 ± 0.026 | 0.681 ± 0.043 | 0.730 ± 0.009 |
| (0.5, 'Cox Vanilla') | 0.798 ± 0.037 | 0.925 ± 0.006 | 0.767 ± 0.009    | 0.756 ± 0.009 | 0.763 ± 0.009 | 0.760 ± 0.007 |
| (0.5, 'RSF')         | 0.886 ± 0.003 | 0.972 ± 0.002 | 0.907 ± 0.002    | 0.892 ± 0.005 | 0.869 ± 0.003 | 0.845 ± 0.003 |
| (0.7, 'Cox')         | 0.613 ± 0.005 | 0.917 ± 0.001 | 0.722 ± 0.007    | 0.704 ± 0.008 | 0.724 ± 0.007 | 0.718 ± 0.007 |
| (0.7, 'Cox Simple')  | 0.577 ± 0.008 | 0.913 ± 0.005 | 0.595 ± 0.020    | 0.631 ± 0.020 | 0.675 ± 0.030 | 0.697 ± 0.009 |
| (0.7, 'Cox Vanilla') | 0.780 ± 0.043 | 0.923 ± 0.005 | 0.730 ± 0.009    | 0.706 ± 0.015 | 0.729 ± 0.009 | 0.722 ± 0.009 |
| (0.7, 'RSF')         | 0.842 ± 0.005 | 0.974 ± 0.003 | 0.899 ± 0.005    | 0.879 ± 0.005 | 0.825 ± 0.005 | 0.798 ± 0.005 |
| (0.9, 'Cox')         | 0.578 ± 0.009 | 0.912 ± 0.001 | 0.653 ± 0.003    | 0.614 ± 0.001 | 0.655 ± 0.003 | 0.647 ± 0.002 |
| (0.9, 'Cox Simple')  | 0.548 ± 0.009 | 0.913 ± 0.003 | 0.609 ± 0.028    | 0.549 ± 0.018 | 0.616 ± 0.021 | 0.631 ± 0.007 |
| (0.9, 'Cox Vanilla') | 0.694 ± 0.020 | 0.917 ± 0.005 | 0.655 ± 0.010    | 0.626 ± 0.013 | 0.647 ± 0.012 | 0.646 ± 0.007 |
| (0.9, 'RSF')         | 0.764 ± 0.006 | 0.986 ± 0.002 | 0.874 ± 0.014    | 0.892 ± 0.011 | 0.739 ± 0.007 | 0.693 ± 0.007 |

=== NaN Ratio: 0.1 ===

-- Cox --
          constant | Train: 0.741 ± 0.005 | Test: 0.732 ± 0.011
        embeddings | Train: 0.925 ± 0.001 | Test: 0.720 ± 0.009
  imputer_bayesian | Train: 0.795 ± 0.002 | Test: 0.788 ± 0.009
               knn | Train: 0.792 ± 0.003 | Test: 0.786 ± 0.009
              mean | Train: 0.793 ± 0.003 | Test: 0.786 ± 0.009
            median | Train: 0.792 ± 0.003 | Test: 0.784 ± 0.007

-- Cox Simple --
          constant | Train: 0.698 ± 0.017 | Test: 0.692 ± 0.014
        embeddings | Train: 0.923 ± 0.004 | Test: 0.659 ± 0.036
  imputer_bayesian | Train: 0.742 ± 0.019 | Test: 0.740 ± 0.015
               knn | Train: 0.748 ± 0.016 | Test: 0.745 ± 0.018
              mean | Train: 0.730 ± 0.021 | Test: 0.732 ± 0.019
            median | Train: 0.751 ± 0.020 | Test: 0.746 ± 0.024

-- Cox Vanilla --
          constant | Train: 0.786 ± 0.013 | Test: 0.752 ± 0.009
        embeddings | Train: 0.926 ± 0.003 | Test: 0.680 ± 0.036
  imputer_bayesian | Train: 0.797 ± 0.004 | Test: 0.781 ± 0.011
               knn | Train: 0.792 ± 0.005 | Test: 0.778 ± 0.012
              mean | Train: 0.792 ± 0.005 | Test: 0.780 ± 0.013
            median | Train: 0.792 ± 0.005 | Test: 0.778 ± 0.010

-- RSF --
          constant | Train: 0.909 ± 0.002 | Test: 0.789 ± 0.011
        embeddings | Train: 0.966 ± 0.001 | Test: 0.719 ± 0.013
  imputer_bayesian | Train: 0.903 ± 0.002 | Test: 0.792 ± 0.009
               knn | Train: 0.905 ± 0.002 | Test: 0.790 ± 0.009
              mean | Train: 0.902 ± 0.002 | Test: 0.790 ± 0.009
            median | Train: 0.895 ± 0.002 | Test: 0.790 ± 0.009

=== NaN Ratio: 0.3 ===

-- Cox --
          constant | Train: 0.688 ± 0.005 | Test: 0.671 ± 0.008
        embeddings | Train: 0.922 ± 0.001 | Test: 0.692 ± 0.011
  imputer_bayesian | Train: 0.778 ± 0.003 | Test: 0.772 ± 0.008
               knn | Train: 0.772 ± 0.004 | Test: 0.764 ± 0.009
              mean | Train: 0.776 ± 0.004 | Test: 0.767 ± 0.008
            median | Train: 0.774 ± 0.004 | Test: 0.764 ± 0.007

-- Cox Simple --
          constant | Train: 0.643 ± 0.028 | Test: 0.629 ± 0.025
        embeddings | Train: 0.921 ± 0.003 | Test: 0.620 ± 0.052
  imputer_bayesian | Train: 0.710 ± 0.022 | Test: 0.700 ± 0.026
               knn | Train: 0.721 ± 0.013 | Test: 0.714 ± 0.018
              mean | Train: 0.725 ± 0.028 | Test: 0.720 ± 0.028
            median | Train: 0.746 ± 0.009 | Test: 0.742 ± 0.009

-- Cox Vanilla --
          constant | Train: 0.789 ± 0.024 | Test: 0.702 ± 0.011
        embeddings | Train: 0.924 ± 0.005 | Test: 0.643 ± 0.054
  imputer_bayesian | Train: 0.784 ± 0.007 | Test: 0.765 ± 0.009
               knn | Train: 0.775 ± 0.007 | Test: 0.750 ± 0.011
              mean | Train: 0.780 ± 0.007 | Test: 0.759 ± 0.010
            median | Train: 0.776 ± 0.004 | Test: 0.757 ± 0.008

-- RSF --
          constant | Train: 0.905 ± 0.004 | Test: 0.767 ± 0.012
        embeddings | Train: 0.968 ± 0.002 | Test: 0.702 ± 0.017
  imputer_bayesian | Train: 0.909 ± 0.003 | Test: 0.776 ± 0.010
               knn | Train: 0.902 ± 0.002 | Test: 0.770 ± 0.012
              mean | Train: 0.891 ± 0.003 | Test: 0.772 ± 0.011
            median | Train: 0.875 ± 0.003 | Test: 0.772 ± 0.009

=== NaN Ratio: 0.5 ===

-- Cox --
          constant | Train: 0.647 ± 0.003 | Test: 0.629 ± 0.014
        embeddings | Train: 0.919 ± 0.002 | Test: 0.657 ± 0.019
  imputer_bayesian | Train: 0.758 ± 0.006 | Test: 0.754 ± 0.010
               knn | Train: 0.750 ± 0.007 | Test: 0.744 ± 0.009
              mean | Train: 0.756 ± 0.007 | Test: 0.748 ± 0.007
            median | Train: 0.752 ± 0.007 | Test: 0.744 ± 0.007

-- Cox Simple --
          constant | Train: 0.600 ± 0.013 | Test: 0.591 ± 0.021
        embeddings | Train: 0.915 ± 0.006 | Test: 0.556 ± 0.066
  imputer_bayesian | Train: 0.647 ± 0.034 | Test: 0.639 ± 0.030
               knn | Train: 0.680 ± 0.026 | Test: 0.677 ± 0.023
              mean | Train: 0.681 ± 0.043 | Test: 0.681 ± 0.042
            median | Train: 0.730 ± 0.009 | Test: 0.722 ± 0.011

-- Cox Vanilla --
          constant | Train: 0.798 ± 0.037 | Test: 0.645 ± 0.014
        embeddings | Train: 0.925 ± 0.006 | Test: 0.575 ± 0.053
  imputer_bayesian | Train: 0.767 ± 0.009 | Test: 0.744 ± 0.009
               knn | Train: 0.756 ± 0.009 | Test: 0.730 ± 0.009
              mean | Train: 0.763 ± 0.009 | Test: 0.742 ± 0.009
            median | Train: 0.760 ± 0.007 | Test: 0.736 ± 0.010

-- RSF --
          constant | Train: 0.886 ± 0.003 | Test: 0.742 ± 0.010
        embeddings | Train: 0.972 ± 0.002 | Test: 0.675 ± 0.013
  imputer_bayesian | Train: 0.907 ± 0.002 | Test: 0.756 ± 0.010
               knn | Train: 0.892 ± 0.005 | Test: 0.749 ± 0.010
              mean | Train: 0.869 ± 0.003 | Test: 0.750 ± 0.007
            median | Train: 0.845 ± 0.003 | Test: 0.752 ± 0.008

=== NaN Ratio: 0.7 ===

-- Cox --
          constant | Train: 0.613 ± 0.005 | Test: 0.581 ± 0.018
        embeddings | Train: 0.917 ± 0.001 | Test: 0.625 ± 0.019
  imputer_bayesian | Train: 0.722 ± 0.007 | Test: 0.710 ± 0.011
               knn | Train: 0.704 ± 0.008 | Test: 0.690 ± 0.013
              mean | Train: 0.724 ± 0.007 | Test: 0.711 ± 0.008
            median | Train: 0.718 ± 0.007 | Test: 0.704 ± 0.007

-- Cox Simple --
          constant | Train: 0.577 ± 0.008 | Test: 0.556 ± 0.017
        embeddings | Train: 0.913 ± 0.005 | Test: 0.548 ± 0.056
  imputer_bayesian | Train: 0.595 ± 0.020 | Test: 0.595 ± 0.023
               knn | Train: 0.631 ± 0.020 | Test: 0.625 ± 0.024
              mean | Train: 0.675 ± 0.030 | Test: 0.667 ± 0.036
            median | Train: 0.697 ± 0.009 | Test: 0.685 ± 0.013

-- Cox Vanilla --
          constant | Train: 0.780 ± 0.043 | Test: 0.585 ± 0.019
        embeddings | Train: 0.923 ± 0.005 | Test: 0.605 ± 0.036
  imputer_bayesian | Train: 0.730 ± 0.009 | Test: 0.697 ± 0.010
               knn | Train: 0.706 ± 0.015 | Test: 0.669 ± 0.016
              mean | Train: 0.729 ± 0.009 | Test: 0.706 ± 0.010
            median | Train: 0.722 ± 0.009 | Test: 0.696 ± 0.013

-- RSF --
          constant | Train: 0.842 ± 0.005 | Test: 0.694 ± 0.014
        embeddings | Train: 0.974 ± 0.003 | Test: 0.631 ± 0.019
  imputer_bayesian | Train: 0.899 ± 0.005 | Test: 0.710 ± 0.014
               knn | Train: 0.879 ± 0.005 | Test: 0.704 ± 0.013
              mean | Train: 0.825 ± 0.005 | Test: 0.709 ± 0.013
            median | Train: 0.798 ± 0.005 | Test: 0.708 ± 0.012

=== NaN Ratio: 0.9 ===

-- Cox --
          constant | Train: 0.578 ± 0.009 | Test: 0.524 ± 0.017
        embeddings | Train: 0.912 ± 0.001 | Test: 0.532 ± 0.011
  imputer_bayesian | Train: 0.653 ± 0.003 | Test: 0.617 ± 0.002
               knn | Train: 0.614 ± 0.001 | Test: 0.593 ± 0.004
              mean | Train: 0.655 ± 0.003 | Test: 0.630 ± 0.004
            median | Train: 0.647 ± 0.002 | Test: 0.617 ± 0.010

-- Cox Simple --
          constant | Train: 0.548 ± 0.009 | Test: 0.518 ± 0.012
        embeddings | Train: 0.913 ± 0.003 | Test: 0.510 ± 0.014
  imputer_bayesian | Train: 0.609 ± 0.028 | Test: 0.597 ± 0.034
