TabPFN-OrmoniTirodei
# Aggregated over 5 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.731 ± 0.013 | 0.783 ± 0.011 | 0.788 ± 0.010    | 0.786 ± 0.009 | 0.786 ± 0.010 | 0.785 ± 0.009 |
| (0.1, 'Cox Simple')  | 0.689 ± 0.019 | 0.782 ± 0.013 | 0.737 ± 0.022    | 0.747 ± 0.016 | 0.742 ± 0.020 | 0.747 ± 0.019 |
| (0.1, 'Cox Vanilla') | 0.751 ± 0.011 | 0.547 ± 0.089 | 0.781 ± 0.011    | 0.778 ± 0.011 | 0.780 ± 0.012 | 0.777 ± 0.012 |
| (0.1, 'RSF')         | 0.788 ± 0.011 | 0.782 ± 0.010 | 0.792 ± 0.009    | 0.789 ± 0.009 | 0.789 ± 0.010 | 0.790 ± 0.009 |
| (0.3, 'Cox')         | 0.672 ± 0.010 | 0.762 ± 0.016 | 0.771 ± 0.009    | 0.765 ± 0.009 | 0.767 ± 0.008 | 0.765 ± 0.008 |
| (0.3, 'Cox Simple')  | 0.628 ± 0.020 | 0.749 ± 0.037 | 0.702 ± 0.032    | 0.715 ± 0.022 | 0.715 ± 0.031 | 0.740 ± 0.012 |
| (0.3, 'Cox Vanilla') | 0.696 ± 0.016 | 0.571 ± 0.068 | 0.763 ± 0.010    | 0.752 ± 0.012 | 0.759 ± 0.012 | 0.756 ± 0.011 |
| (0.3, 'RSF')         | 0.767 ± 0.010 | 0.765 ± 0.011 | 0.775 ± 0.011    | 0.770 ± 0.010 | 0.772 ± 0.010 | 0.772 ± 0.009 |
| (0.5, 'Cox')         | 0.625 ± 0.013 | 0.739 ± 0.015 | 0.750 ± 0.010    | 0.739 ± 0.010 | 0.745 ± 0.009 | 0.741 ± 0.008 |
| (0.5, 'Cox Simple')  | 0.587 ± 0.021 | 0.735 ± 0.019 | 0.638 ± 0.044    | 0.679 ± 0.022 | 0.681 ± 0.037 | 0.720 ± 0.011 |
| (0.5, 'Cox Vanilla') | 0.648 ± 0.018 | 0.545 ± 0.067 | 0.740 ± 0.013    | 0.726 ± 0.009 | 0.739 ± 0.010 | 0.734 ± 0.010 |
| (0.5, 'RSF')         | 0.739 ± 0.012 | 0.745 ± 0.012 | 0.754 ± 0.012    | 0.745 ± 0.012 | 0.748 ± 0.010 | 0.748 ± 0.010 |
| (0.7, 'Cox')         | 0.579 ± 0.014 | 0.706 ± 0.016 | 0.709 ± 0.011    | 0.689 ± 0.011 | 0.709 ± 0.009 | 0.703 ± 0.010 |
| (0.7, 'Cox Simple')  | 0.552 ± 0.015 | 0.695 ± 0.027 | 0.605 ± 0.029    | 0.628 ± 0.023 | 0.662 ± 0.034 | 0.679 ± 0.020 |
| (0.7, 'Cox Vanilla') | 0.582 ± 0.016 | 0.526 ± 0.053 | 0.698 ± 0.011    | 0.667 ± 0.014 | 0.702 ± 0.011 | 0.694 ± 0.016 |
| (0.7, 'RSF')         | 0.693 ± 0.012 | 0.711 ± 0.010 | 0.710 ± 0.013    | 0.700 ± 0.012 | 0.708 ± 0.011 | 0.707 ± 0.011 |
| (0.9, 'Cox')         | 0.525 ± 0.016 | 0.618 ± 0.020 | 0.623 ± 0.007    | 0.591 ± 0.008 | 0.630 ± 0.006 | 0.619 ± 0.009 |
| (0.9, 'Cox Simple')  | 0.517 ± 0.013 | 0.612 ± 0.027 | 0.587 ± 0.033    | 0.537 ± 0.019 | 0.602 ± 0.017 | 0.612 ± 0.016 |
| (0.9, 'Cox Vanilla') | 0.540 ± 0.015 | 0.511 ± 0.027 | 0.618 ± 0.018    | 0.565 ± 0.013 | 0.622 ± 0.014 | 0.620 ± 0.014 |
| (0.9, 'RSF')         | 0.612 ± 0.016 | 0.623 ± 0.016 | 0.618 ± 0.015    | 0.603 ± 0.013 | 0.628 ± 0.013 | 0.628 ± 0.013 |

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
| (0.1, 'Cox')         | 0.742 ± 0.004 | 0.918 ± 0.002 | 0.795 ± 0.002    | 0.793 ± 0.002 | 0.793 ± 0.002 | 0.792 ± 0.002 |
| (0.1, 'Cox Simple')  | 0.699 ± 0.020 | 0.918 ± 0.003 | 0.743 ± 0.026    | 0.750 ± 0.015 | 0.745 ± 0.019 | 0.754 ± 0.019 |
| (0.1, 'Cox Vanilla') | 0.791 ± 0.010 | 0.920 ± 0.002 | 0.800 ± 0.004    | 0.796 ± 0.005 | 0.797 ± 0.005 | 0.796 ± 0.005 |
| (0.1, 'RSF')         | 0.908 ± 0.002 | 0.960 ± 0.001 | 0.904 ± 0.002    | 0.904 ± 0.002 | 0.902 ± 0.002 | 0.895 ± 0.002 |
| (0.3, 'Cox')         | 0.688 ± 0.005 | 0.916 ± 0.001 | 0.779 ± 0.003    | 0.773 ± 0.004 | 0.776 ± 0.004 | 0.775 ± 0.003 |
| (0.3, 'Cox Simple')  | 0.641 ± 0.021 | 0.916 ± 0.002 | 0.710 ± 0.031    | 0.722 ± 0.019 | 0.721 ± 0.029 | 0.746 ± 0.010 |
| (0.3, 'Cox Vanilla') | 0.784 ± 0.033 | 0.918 ± 0.002 | 0.784 ± 0.008    | 0.774 ± 0.010 | 0.778 ± 0.009 | 0.777 ± 0.007 |
| (0.3, 'RSF')         | 0.904 ± 0.003 | 0.960 ± 0.001 | 0.908 ± 0.002    | 0.902 ± 0.003 | 0.890 ± 0.003 | 0.875 ± 0.003 |
| (0.5, 'Cox')         | 0.648 ± 0.004 | 0.913 ± 0.002 | 0.759 ± 0.005    | 0.749 ± 0.006 | 0.756 ± 0.006 | 0.752 ± 0.006 |
| (0.5, 'Cox Simple')  | 0.603 ± 0.014 | 0.913 ± 0.002 | 0.644 ± 0.044    | 0.687 ± 0.022 | 0.684 ± 0.044 | 0.730 ± 0.011 |
| (0.5, 'Cox Vanilla') | 0.790 ± 0.035 | 0.915 ± 0.002 | 0.765 ± 0.009    | 0.754 ± 0.009 | 0.761 ± 0.010 | 0.758 ± 0.009 |
| (0.5, 'RSF')         | 0.885 ± 0.002 | 0.959 ± 0.001 | 0.907 ± 0.002    | 0.891 ± 0.004 | 0.868 ± 0.003 | 0.844 ± 0.003 |
| (0.7, 'Cox')         | 0.615 ± 0.006 | 0.909 ± 0.002 | 0.724 ± 0.005    | 0.706 ± 0.007 | 0.725 ± 0.005 | 0.719 ± 0.005 |
| (0.7, 'Cox Simple')  | 0.577 ± 0.009 | 0.910 ± 0.002 | 0.614 ± 0.031    | 0.637 ± 0.026 | 0.674 ± 0.029 | 0.692 ± 0.019 |
| (0.7, 'Cox Vanilla') | 0.766 ± 0.050 | 0.911 ± 0.002 | 0.727 ± 0.009    | 0.704 ± 0.013 | 0.727 ± 0.009 | 0.721 ± 0.011 |
| (0.7, 'RSF')         | 0.841 ± 0.004 | 0.960 ± 0.002 | 0.898 ± 0.004    | 0.879 ± 0.006 | 0.825 ± 0.004 | 0.799 ± 0.004 |
| (0.9, 'Cox')         | 0.578 ± 0.007 | 0.902 ± 0.002 | 0.652 ± 0.003    | 0.618 ± 0.003 | 0.656 ± 0.004 | 0.648 ± 0.002 |
| (0.9, 'Cox Simple')  | 0.551 ± 0.009 | 0.902 ± 0.002 | 0.604 ± 0.033    | 0.552 ± 0.021 | 0.620 ± 0.019 | 0.633 ± 0.009 |
| (0.9, 'Cox Vanilla') | 0.681 ± 0.031 | 0.903 ± 0.002 | 0.648 ± 0.014    | 0.618 ± 0.014 | 0.646 ± 0.013 | 0.647 ± 0.008 |
| (0.9, 'RSF')         | 0.766 ± 0.006 | 0.964 ± 0.002 | 0.880 ± 0.012    | 0.892 ± 0.013 | 0.740 ± 0.007 | 0.694 ± 0.005 |

=== NaN Ratio: 0.1 ===

-- Cox --
          constant | Train: 0.742 ± 0.004 | Test: 0.731 ± 0.013
        embeddings | Train: 0.918 ± 0.002 | Test: 0.783 ± 0.011
  imputer_bayesian | Train: 0.795 ± 0.002 | Test: 0.788 ± 0.010
               knn | Train: 0.793 ± 0.002 | Test: 0.786 ± 0.009
              mean | Train: 0.793 ± 0.002 | Test: 0.786 ± 0.010
            median | Train: 0.792 ± 0.002 | Test: 0.785 ± 0.009

-- Cox Simple --
          constant | Train: 0.699 ± 0.020 | Test: 0.689 ± 0.019
        embeddings | Train: 0.918 ± 0.003 | Test: 0.782 ± 0.013
  imputer_bayesian | Train: 0.743 ± 0.026 | Test: 0.737 ± 0.022
               knn | Train: 0.750 ± 0.015 | Test: 0.747 ± 0.016
              mean | Train: 0.745 ± 0.019 | Test: 0.742 ± 0.020
            median | Train: 0.754 ± 0.019 | Test: 0.747 ± 0.019

-- Cox Vanilla --
          constant | Train: 0.791 ± 0.010 | Test: 0.751 ± 0.011
        embeddings | Train: 0.920 ± 0.002 | Test: 0.547 ± 0.089
  imputer_bayesian | Train: 0.800 ± 0.004 | Test: 0.781 ± 0.011
               knn | Train: 0.796 ± 0.005 | Test: 0.778 ± 0.011
              mean | Train: 0.797 ± 0.005 | Test: 0.780 ± 0.012
            median | Train: 0.796 ± 0.005 | Test: 0.777 ± 0.012

-- RSF --
          constant | Train: 0.908 ± 0.002 | Test: 0.788 ± 0.011
        embeddings | Train: 0.960 ± 0.001 | Test: 0.782 ± 0.010
  imputer_bayesian | Train: 0.904 ± 0.002 | Test: 0.792 ± 0.009
               knn | Train: 0.904 ± 0.002 | Test: 0.789 ± 0.009
              mean | Train: 0.902 ± 0.002 | Test: 0.789 ± 0.010
            median | Train: 0.895 ± 0.002 | Test: 0.790 ± 0.009

=== NaN Ratio: 0.3 ===

-- Cox --
          constant | Train: 0.688 ± 0.005 | Test: 0.672 ± 0.010
        embeddings | Train: 0.916 ± 0.001 | Test: 0.762 ± 0.016
  imputer_bayesian | Train: 0.779 ± 0.003 | Test: 0.771 ± 0.009
               knn | Train: 0.773 ± 0.004 | Test: 0.765 ± 0.009
              mean | Train: 0.776 ± 0.004 | Test: 0.767 ± 0.008
            median | Train: 0.775 ± 0.003 | Test: 0.765 ± 0.008

-- Cox Simple --
          constant | Train: 0.641 ± 0.021 | Test: 0.628 ± 0.020
        embeddings | Train: 0.916 ± 0.002 | Test: 0.749 ± 0.037
  imputer_bayesian | Train: 0.710 ± 0.031 | Test: 0.702 ± 0.032
               knn | Train: 0.722 ± 0.019 | Test: 0.715 ± 0.022
              mean | Train: 0.721 ± 0.029 | Test: 0.715 ± 0.031
            median | Train: 0.746 ± 0.010 | Test: 0.740 ± 0.012

-- Cox Vanilla --
          constant | Train: 0.784 ± 0.033 | Test: 0.696 ± 0.016
        embeddings | Train: 0.918 ± 0.002 | Test: 0.571 ± 0.068
  imputer_bayesian | Train: 0.784 ± 0.008 | Test: 0.763 ± 0.010
               knn | Train: 0.774 ± 0.010 | Test: 0.752 ± 0.012
              mean | Train: 0.778 ± 0.009 | Test: 0.759 ± 0.012
            median | Train: 0.777 ± 0.007 | Test: 0.756 ± 0.011

-- RSF --
          constant | Train: 0.904 ± 0.003 | Test: 0.767 ± 0.010
        embeddings | Train: 0.960 ± 0.001 | Test: 0.765 ± 0.011
  imputer_bayesian | Train: 0.908 ± 0.002 | Test: 0.775 ± 0.011
               knn | Train: 0.902 ± 0.003 | Test: 0.770 ± 0.010
              mean | Train: 0.890 ± 0.003 | Test: 0.772 ± 0.010
            median | Train: 0.875 ± 0.003 | Test: 0.772 ± 0.009

=== NaN Ratio: 0.5 ===

-- Cox --
          constant | Train: 0.648 ± 0.004 | Test: 0.625 ± 0.013
        embeddings | Train: 0.913 ± 0.002 | Test: 0.739 ± 0.015
  imputer_bayesian | Train: 0.759 ± 0.005 | Test: 0.750 ± 0.010
               knn | Train: 0.749 ± 0.006 | Test: 0.739 ± 0.010
              mean | Train: 0.756 ± 0.006 | Test: 0.745 ± 0.009
            median | Train: 0.752 ± 0.006 | Test: 0.741 ± 0.008

-- Cox Simple --
          constant | Train: 0.603 ± 0.014 | Test: 0.587 ± 0.021
        embeddings | Train: 0.913 ± 0.002 | Test: 0.735 ± 0.019
  imputer_bayesian | Train: 0.644 ± 0.044 | Test: 0.638 ± 0.044
               knn | Train: 0.687 ± 0.022 | Test: 0.679 ± 0.022
              mean | Train: 0.684 ± 0.044 | Test: 0.681 ± 0.037
            median | Train: 0.730 ± 0.011 | Test: 0.720 ± 0.011

-- Cox Vanilla --
          constant | Train: 0.790 ± 0.035 | Test: 0.648 ± 0.018
        embeddings | Train: 0.915 ± 0.002 | Test: 0.545 ± 0.067
  imputer_bayesian | Train: 0.765 ± 0.009 | Test: 0.740 ± 0.013
               knn | Train: 0.754 ± 0.009 | Test: 0.726 ± 0.009
              mean | Train: 0.761 ± 0.010 | Test: 0.739 ± 0.010
            median | Train: 0.758 ± 0.009 | Test: 0.734 ± 0.010

-- RSF --
          constant | Train: 0.885 ± 0.002 | Test: 0.739 ± 0.012
        embeddings | Train: 0.959 ± 0.001 | Test: 0.745 ± 0.012
  imputer_bayesian | Train: 0.907 ± 0.002 | Test: 0.754 ± 0.012
               knn | Train: 0.891 ± 0.004 | Test: 0.745 ± 0.012
              mean | Train: 0.868 ± 0.003 | Test: 0.748 ± 0.010
            median | Train: 0.844 ± 0.003 | Test: 0.748 ± 0.010

=== NaN Ratio: 0.7 ===

-- Cox --
          constant | Train: 0.615 ± 0.006 | Test: 0.579 ± 0.014
        embeddings | Train: 0.909 ± 0.002 | Test: 0.706 ± 0.016
  imputer_bayesian | Train: 0.724 ± 0.005 | Test: 0.709 ± 0.011
               knn | Train: 0.706 ± 0.007 | Test: 0.689 ± 0.011
              mean | Train: 0.725 ± 0.005 | Test: 0.709 ± 0.009
            median | Train: 0.719 ± 0.005 | Test: 0.703 ± 0.010

-- Cox Simple --
          constant | Train: 0.577 ± 0.009 | Test: 0.552 ± 0.015
        embeddings | Train: 0.910 ± 0.002 | Test: 0.695 ± 0.027
  imputer_bayesian | Train: 0.614 ± 0.031 | Test: 0.605 ± 0.029
               knn | Train: 0.637 ± 0.026 | Test: 0.628 ± 0.023
              mean | Train: 0.674 ± 0.029 | Test: 0.662 ± 0.034
            median | Train: 0.692 ± 0.019 | Test: 0.679 ± 0.020

-- Cox Vanilla --
          constant | Train: 0.766 ± 0.050 | Test: 0.582 ± 0.016
        embeddings | Train: 0.911 ± 0.002 | Test: 0.526 ± 0.053
  imputer_bayesian | Train: 0.727 ± 0.009 | Test: 0.698 ± 0.011
               knn | Train: 0.704 ± 0.013 | Test: 0.667 ± 0.014
              mean | Train: 0.727 ± 0.009 | Test: 0.702 ± 0.011
            median | Train: 0.721 ± 0.011 | Test: 0.694 ± 0.016

-- RSF --
          constant | Train: 0.841 ± 0.004 | Test: 0.693 ± 0.012
        embeddings | Train: 0.960 ± 0.002 | Test: 0.711 ± 0.010
  imputer_bayesian | Train: 0.898 ± 0.004 | Test: 0.710 ± 0.013
               knn | Train: 0.879 ± 0.006 | Test: 0.700 ± 0.012
              mean | Train: 0.825 ± 0.004 | Test: 0.708 ± 0.011
            median | Train: 0.799 ± 0.004 | Test: 0.707 ± 0.011

=== NaN Ratio: 0.9 ===

-- Cox --
          constant | Train: 0.578 ± 0.007 | Test: 0.525 ± 0.016
        embeddings | Train: 0.902 ± 0.002 | Test: 0.618 ± 0.020
  imputer_bayesian | Train: 0.652 ± 0.003 | Test: 0.623 ± 0.007
               knn | Train: 0.618 ± 0.003 | Test: 0.591 ± 0.008
              mean | Train: 0.656 ± 0.004 | Test: 0.630 ± 0.006
            median | Train: 0.648 ± 0.002 | Test: 0.619 ± 0.009

-- Cox Simple --
          constant | Train: 0.551 ± 0.009 | Test: 0.517 ± 0.013
        embeddings | Train: 0.902 ± 0.002 | Test: 0.612 ± 0.027
  imputer_bayesian | Train: 0.604 ± 0.033 | Test: 0.587 ± 0.033
